Province,Type,Name,Tel,Longitude,Latitude
Free State,Clinic,Kananelo CHC,056-9310046,27.368437,-27.004423
Free State,District Hospital,Katleho Hospital,572213300,26.85798,-28.11057
Free State,Clinic,Kgalala Clinic,051-8751107,26.80427,-28.98888
Free State,CHC,Kganya CHC,056-7771777,27.58748,-27.23415
Free State,CHC,Kgotso Clinic,056-7771777,27.58748,-27.23415
Free State,Clinic,Kgotsong (Bothaville) Clinic,056-5156108,26.64423,-27.3902
Free State,Clinic,Kgotsong (Welkom) Clinic,057-3821117,26.8207,-27.97002
Free State,Clinic,Khotalong Clinic,057-2152318,26.90292,-28.13183
Free State,Clinic,Klipfontein Clinic,083-4144763,26.983125,-29.22954
Free State,Clinic,Kokelong Clinic,051-9910629,27.413882,-28.67794
Free State,Clinic,Kopanong Clinic,058-6531121,28.698387,-28.331488
Free State,Clinic,Ladybrand Clinic,051-9241586,27.45902,-29.19107
Free State,Clinic,Langenhovenpark Clinic,051-4463756,26.15587,-29.0978
Free State,Clinic,Lebohang Clinic,051-5881300,27.02715,-29.72055
Free State,Clinic,Lephoi Clinic,051-7630438,25.975274,-30.504777
Free State,Clinic,Leratong Clinic,057-4512061,26.657483,-27.780743
Free State,Clinic,Leratswana Clinic,058-4530657,27.843851,-28.027951
Free State,CHC,Lesedi CHC,056-2162600,27.192192,-27.640864
Free State,Clinic,Lesedi Clinic,058-6230114,29.105476,-28.247847
Free State,Clinic,Leseding Clinic,056-4630224,27.90761,-27.882066
Free State,Clinic,Lindley Clinic,058-4630415,27.915887,-27.881338
Free State,Clinic,Lourierpark Clinic,051-4111000,26.17435,-29.17788
Free State,Clinic,Luckhoff Clinic,053-2060085,24.786245,-29.749866
Free State,Clinic,Lusaka Clinic,057-7335910,26.697845,-28.4166777
Free State,Clinic,Ma-haig Clinic,587136820,28.801373,-28.519185
Free State,Clinic,Mafane Clinic,051-8732885,26.81338,-29.19897
Free State,District Hospital,Mafube Hospital,058-8131040,28.50022,-27.278414
Free State,Clinic,Makeneng Clinic,058-7891767,28.821457,-28.614535
Free State,Clinic,Makhalaneng Clinic,058-7134579,28.791306,-28.550874
Free State,Clinic,Makoane Clinic,058-7210215,28.88815,-28.534665
Free State,Clinic,Malesaona Clinic,058-7210072,28.720753,-28.559901
Free State,Clinic,Maletsatsi Mabaso Clinic,051-5321723,26.73198,-29.25477
Free State,CHC,Mamello CHC,0519910125/0519910781,27.42652,-28.66682
Free State,Clinic,Mamello Clinic,051-7130531,25.779371,-30.027177
Free State,District Hospital,Mantsopa Hospital,051-9243268,27.44822,-29.202793
Free State,Clinic,Manyatseng Clinic,051-9240491,27.4656,-29.1724
Free State,Clinic,Marakong Clinic,058-7891291,28.84733,-28.564801
Free State,Clinic,Marantha Clinic,051-8211711,26.462688,-28.68743
Free State,Clinic,Masebabatso Clinic,051-9380125,27.882939,-28.904297
Free State,Clinic,Masilo Clinic,057-7332971,26.70712,-28.40988
Free State,CHC,Matjhabeng Clinic,057-3551026,26.79838,-27.96738
Free State,Clinic,Matlakeng Clinic,051-6731240,27.094157,-30.295436
Free State,Clinic,Matsieng Clinic,058-7891769,28.800597,-28.601827
Free State,Clinic,Matwabeng Clinic,058-4814232,27.628512,-28.344392
Free State,Clinic,Mauersnek Clinic,051-9241585,27.43953,-29.19032
Free State,Clinic,Meloding Clinic,057-2152324,26.897981,-28.129962
Free State,Clinic,Memel Clinic,058-9240336,29.563683,-27.677704
Free State,Clinic,Meqheleng Clinic,051-9330126,27.877124,-28.889958
Free State,Clinic,Metsimaholo Clinic,016-3571637,28.210984,-26.979165
Free State,District Hospital,Metsimaholo Hospital,169709467,27.82768,-26.803029
Free State,Clinic,Mmabana Clinic,051-4096782,26.24172,-29.15072
Free State,Clinic,Mmamahabane Clinic,057-6515395,27.14768,-28.09173
Free State,Regional Hospital,Mofumahadi Manapo Mopeli Hospital,059-7183200,28.805358,-28.535926
Free State,District Hospital,Mohau Hospital,053-4441912,25.91538,-27.83235
Free State,Clinic,Mokwena Clinic,051-8732703,26.840959,-29.19323
Free State,Clinic,Molefi Tau Clinic,051-5330315,26.71927,-29.21092
Free State,Clinic,Monontsha Clinic,058-7210078,28.744397,-28.565432
Free State,Clinic,Mphatlalatsane Clinic,058-7136660,28.836869,-28.509611
Free State,Clinic,Mphohadi Clinic,058-3043159,28.325645,-28.197995
Free State,CHC,MUCPP CHC,051-4356430,26.24293,-29.17923
Free State,District Hospital,Nala Hospital,5651552071,26.61783,-27.39465
Free State,Clinic,Namahali Clinic,058-7891112,28.829549,-28.583799
Free State,District Hospital,National Hospital,092-3695113,26.20619,-29.12721
Free State,Clinic,National Hospital Gateway Clinic,051-4039642,26.20703,-29.12818
Free State,Clinic,Nelson Mandela Clinic,051-7431376,25.94157,-29.73105
Free State,District Hospital,Nketoana Hospital,058-8632806,28.419555,-27.802701
Free State,Clinic,Nothnagel Clinic,519910459,27.420239,-28.676592
Free State,Clinic,Nthabiseng Clinic,058-7210040,28.78217,-28.5908
Free State,Clinic,Opkoms Clinic,051-4096783,26.25227,-29.14452
Free State,Clinic,Oppermansgronde Clinic,053-2095009,24.744904,-29.413521
Free State,Clinic,OR Tambo Clinic,057-2151402,26.887343,-28.149773
Free State,Clinic,Paballong Clinic,058-7210055,28.776782,-28.555154
Free State,Clinic,Parys Clinic,056-8112046,27.457071,-26.899327
Free State,District Hospital,Parys Hospital,568168038,27.471882,-26.895794
Free State,Clinic,Paul Roux Clinic,058-7105332,27.955559,-28.296049
Free State,CHC,PAX CHC,056-3433115,26.949769,-27.189062
Free State,Regional Hospital,Pelonomi Hospital,514051929,26.2442,-29.14269
Free State,Clinic,Petsana Clinic,058-8632353,28.44652,-27.804
Free State,Clinic,Phahameng (Bultfontein) Clinic,051-8532467,26.14848,-28.3007
Free State,Clinic,Phahameng (Frankfort) Clinic,058-8131614,28.513955,-27.256396
Free State,Clinic,Phedisanang Clinic,057-3612613,26.0214712,-27.739655
Free State,Clinic,Phedisong Clinic,058-8210378,28.627973,-27.02127
Free State,Clinic,Phekolong (Cornelia) Clinic,058-4410723,28.850725,-27.228481
Free State,Clinic,Phekolong (Reddersburg) Clinic,051-5530218,26.166094,-29.652603
Free State,District Hospital,Phekolong Hospital,058-3035123,28.327426,-28.217734
Free State,Clinic,Phetogo Clinic,083-2660292,26.8368,-29.36777
Free State,Clinic,Philani Clinic,058-8131627,28.504511,-27.267877
Free State,Clinic,Philippolis Clinic,051-7730186,25.274863,-30.266309
Free State,Clinic,Phomolong (Ficksburg) Clinic,051-9380117,27.882392,-28.89358
Free State,Clinic,Phomolong (Hennenman) Clinic,057-5745251,27.08118,-28.014
Free State,District Hospital,Phumelela Hospital,589181044,29.155569,-27.433556
Free State,Clinic,Phuthaditjhaba Clinic,058-7131320,28.820617,-28.520245
Free State,District Hospital,Phuthuloha Hospital,519332284,27.87173,-28.881586
Free State,Clinic,Potlako Motlohi Clinic,083-3043478,26.72317,-29.27168
Free State,Clinic,Pule Sefatsa Clinic,083-3043450,26.69123,-29.26142
Free State,Clinic,Qalabotjha Clinic,058-8210363,28.616206,-27.014431
Free State,Clinic,Qholaqhwe Clinic,058-7162026,28.855073,-28.522866
Free State,Clinic,Rainbow Clinic,058-8810404,28.513282,-27.553707
Free State,Clinic,Rammulotsi Clinic,056-3433337,26.953781,-27.195411
Free State,Clinic,Rearabetsoe (Virginia) Clinic,057-2174463,26.864448,-28.062362
Free State,Clinic,Rearabetswe Clinic,058-8713167,28.128079,-27.65412
Free State,Clinic,Refengkgotso Clinic,016-3711318,28.07193,-26.893497
Free State,Clinic,Reitumetse Clinic,058-2230555,28.195531,-28.620655
Free State,Clinic,Reitz Clinic,058-8632319,28.41965,-27.80303
Free State,Clinic,Relebohile (Heilbron) Clinic,588521040,27.975467,-27.271558
Free State,Clinic,Relebohile (Rosendal) Clinic,058-2110729,27.923094,-28.509234
Free State,Clinic,Relebohile (Vredefort) Clinic,059-9310457,27.376143,-27.001756
Free State,Clinic,Rheederspark Clinic,057-3528169,26.72002,-27.95453
Free State,Clinic,Riebeeckstad Clinic,057-3881291,26.81187,-27.93358
Free State,Clinic,Riverside Clinic,058-7133511,28.81292,-28.543744
Free State,Clinic,Sandersville Clinic,058-8522380,27.96499,-27.274955
Free State,Clinic,Sasolburg Clinic,016-9732782,27.8277,-26.81798
Free State,Clinic,Schonkenville Clinic,056-8198461,27.462363,-26.933283
Free State,Clinic,Seadimo Clinic,083-2660374,26.9845,-29.10045
Free State,Clinic,Sediba Clinic,083-2660235,26.94302,-29.02893
Free State,Clinic,Sedibeng sa Bophelo Clinic,0564710117/0564710118,27.553952,-27.945436
Free State,Clinic,Seeisoville Clinic,056-2132535,27.210549,-27.653929
Free State,Clinic,Sehularo Tau Clinic,051-7830072,25.714614,-30.261882
Free State,Clinic,Sekamotho Mota Clinic,058-7210171,28.85226,-28.648787
Free State,Clinic,Senekal Clinic,058-4812713,27.619398,-28.322917
Free State,Clinic,Sizabantu Clinic,058-8521711,27.977631,-27.266284
Free State,Clinic,Soetwater Clinic,051-9332281,27.875909,-28.874965
Free State,District Hospital,Stoffel Coetzee Hospital,516830168,26.523206,-30.223197
Free State,Clinic,Tebang Clinic,058-7131327,28.872349,-28.525901
Free State,Clinic,Thaba Bosiu Clinic,058-7210139,28.883338,-28.598146
Free State,Clinic,Thaba Nchu Clinic,051-8751298,26.848073,-29.21871
Free State,Clinic,Thaba Phatswa Clinic,051-9640099,27.124904,-29.312954
Free State,Clinic,Thabang Clinic,058-7131327,28.829767,-28.609871
Free State,District Hospital,Thabong Clinic,573542111,26.79163,-27.96402
Free State,District Hospital,Thebe Hospital,058-6241800,29.13666,-28.271947
Free State,Clinic,Thembalethu Clinic,051-6830131,26.536054,-30.212867
Free State,Clinic,Thusa Bophelo Clinic,058-6430028,28.978066,-27.835895
Free State,Clinic,Thusanang (Sasolburg) Clinic,016-9744934,27.864598,-26.845085
Free State,Clinic,Thusanong (Kroonstad) Clinic,056-2143882,27.19018,-27.648774
Free State,Clinic,Thusanong (Parys) Clinic,056-8199960,27.48572,-26.919767
Free State,District Hospital,Thusanong Hospital,057-3542111,26.65922,-27.87735
Free State,Clinic,Thusong Clinic,051-4341201,26.23462,-29.18472
Free State,Clinic,Tiger River Clinic,073-2059786,26.78943,-29.12047
Free State,Clinic,Tina Moloi Clinic,058-7894114,28.85617,-28.609704
Free State,District Hospital,Tokollo Hospital,058-8523030,27.961691,-27.289189
Free State,Clinic,TS Mahloko Clinic,051-5321641,26.71661,-29.24308
Free State,Clinic,Tsatsi SPS Clinic,169742160,27.855738,-26.844407
Free State,Clinic,Tseki Clinic,058-7132435,28.772019,-28.585681
Free State,Clinic,Tshepong (Kroonstad) Clinic,056-2144257,27.174082,-27.638847
Free State,Clinic,Tshepong (Verkeerdevlei) Clinic,051-8411028,26.76212,-28.8401
Free State,Clinic,Tshepong (Welkom) Clinic,057-3837360,26.83607,-27.95773
Free State,Clinic,Tshirela Clinic,058-7891757,28.804302,-28.622886
Free State,Clinic,Tshwaraganang (Hertzogville) Clinic,053-4219622,25.49985,-28.12308
Free State,Clinic,Tumahole Clinic,056-8198970,27.467778,-26.916282
Free State,Clinic,Tweefontein Clinic,083-2660439,26.92562,-29.37017
Free State,Clinic,Tweespruit Clinic,051-9630111,27.029634,-29.185178
Free State,Central Hospital,Universitas (C) Hospital,051-4053557,26.183746,-29.116587
Free State,Clinic,Vaal Rock Clinic,518212024,26.46135,-28.68152
Free State,Clinic,Vanstadensrus Clinic,051-5841118,27.0136,-29.9852
Free State,Clinic,Villiers Clinic,588210390,28.59694,-27.028574
Free State,Clinic,Virginia Clinic,057-2127078,26.86413,-28.10762
Free State,Clinic,Vrede Clinic,058-1333197,29.155285,-27.434361
Free State,Clinic,Welkom Clinic,057-3575432,26.7414,-27.98545
Free State,Clinic,Westdene Clinic,051-4058170,26.20763,-29.10278
Free State,CHC,Winburg Clinic,073-0883551,26.99409,-28.52991
Free State,District Hospital,Winburg Hospital,051-8810046,27.00802,-28.5098
Free State,Clinic,Winnie Mandela (Botshabelo) Clinic,051-5330306,26.70333,-29.21828
Free State,Clinic,Winnie Mandela (Rouxville) Clinic,051-6630122,26.830899,-30.407733
Free State,Clinic,Zamani Clinic,058-9240407,29.56125,-27.66872
Free State,CHC,Zamdela CHC,016-9741110,27.846088,-26.842064
Gauteng,Clinic,17 Esselen Street Clinic,011-7256711/011-7256712,28.044939,-26.190896
Gauteng,Clinic,4th Avenue Clinic,011-882-8930,28.09007,-26.1051
Gauteng,Clinic,80 Albert Street Clinic,011-3346009/0538,28.049984,-26.208026
Gauteng,Clinic,Adelaide Tambo Clinic,082-4581023,28.23326,-25.58195
Gauteng,Clinic,Albertina Sisulu Clinic,016-595-1093,27.84864,-26.57697
Gauteng,Clinic,Alberton North Clinic,011-999-2263/011-999-2393,28.128664,-26.259778
Gauteng,Clinic,Alexandra 8th Avenue Clinic,011-4438211,28.096131,-26.109772
Gauteng,CHC,Alexandra CHC,011-4401231,28.090625,-26.116169
Gauteng,Clinic,Alexandra East Bank Clinic,011-882-0905,28.11028,-26.106843
Gauteng,Clinic,Alra Park Clinic,011-999-9073,28.508218,-26.432645
Gauteng,Clinic,Andries Raditsela Clinic,011-368-8003,28.38866,-26.33434
Gauteng,Clinic,Atteridgeville Clinic,012-373-0126,28.07841,-25.76861
Gauteng,Clinic,Azaadville Clinic,011-4131345,27.75829,-26.17092
Gauteng,Clinic,Badirile Clinic,011-4162100,27.59278,-26.13027
Gauteng,Clinic,Barcelona Clinic,011-999-6991,28.452586,-26.109221
Gauteng,Clinic,Barney Molokoane Clinic,011-8506587,27.878977,-26.492298
Gauteng,Clinic,Bedfordview Clinic,011-999-0077/011-999-0075,28.134833,-26.178856
Gauteng,Clinic,Bekkersdal East Clinic,076-6657525,27.70399,-26.28345
Gauteng,CHC,Bekkersdal West CHC,011-7551946,27.6974,-26.28619
Gauteng,Clinic,Berario Clinic,011-4765642,27.953049,-26.136176
Gauteng,Clinic,Beverly Hills Clinic,016-590-4002,27.82381,-26.54248
Gauteng,Clinic,Bezvalley Clinic,011-6480617/011-4322828,28.088153,-26.186704
Gauteng,Clinic,Birchleigh Clinic,011-999-4190/011-999-4193,28.228115,-26.067763
Gauteng,Clinic,Birchleigh North Clinic,011-999-9147,28.22992,-26.052617
Gauteng,Satellite Clinic,Blybank Satellite Clinic,083-4277043,27.472684,-26.342542
Gauteng,Clinic,Blyvooruitsig Clinic,018-7899623,27.37695,-26.39638
Gauteng,Clinic,Boekenhout CHC,012-7021495,28.301457,-25.541304
Gauteng,Clinic,Boikhutsong Clinic,012-790-0091,28.1125,-25.44835
Gauteng,CHC,Boipatong CHC,016-988-3487,27.84787,-26.67216
Gauteng,Clinic,Boitumelo Clinic,016-989-7098,27.82432,-26.56237
Gauteng,Clinic,Boksburg Civic Centre Clinic,011-999-5929,28.251016,-26.222354
Gauteng,Clinic,Boksburg North Clinic,011-999-5541,28.252593,-26.208984
Gauteng,Clinic,Bonaero Park Clinic,011-999-3506/011-999-3508,28.256042,-26.119863
Gauteng,Clinic,Bophelong (Region 2) Clinic,011-2611212,28.190368,-26.004592
Gauteng,Clinic,Bophelong (Region 6) Clinic,011-9319001,27.80778,-26.24417
Gauteng,CDC,Bophelong (Region B) CDC,011-9862409,27.79729,-26.6939
Gauteng,Clinic,Bophelong (Region C) Clinic,012-375-6085,28.0534,-25.77192
Gauteng,Clinic,Bosmont Clinic,011-4743413,27.957303,-26.189144
Gauteng,Clinic,Brackenhurst Clinic,011-867-3610/011-867-3611,28.097271,-26.31419
Gauteng,Clinic,Bristlecone Clinic,082-3731179,27.856613,-26.450595
Gauteng,Clinic,Bronkhorstspruit Clinic,013-9326283,28.743217,-25.809217
Gauteng,Clinic,Calcot Dhlephu Clinic,011-999-8007,28.378194,-26.376669
Gauteng,Clinic,Carletonville Central Clinic,018-7889634,27.39726,-26.35791
Gauteng,District Hospital,Carletonville hospital,018-7881700,27.39446,-26.34704
Gauteng,Central Hospital,Charlotte Maxeke Hospital,011-4883792/011-4884911,28.044255,-26.176728
Gauteng,CHC,Chiawelo CHC,119862159,27.865437,-26.279299
Gauteng,Clinic,Chief Albert Luthuli Clinic,011-999-6954,28.387513,-26.158635
Gauteng,Central Hospital,Chris Hani Baragwanath Hospital,011-9338000,27.943919,-26.260553
Gauteng,Clinic,Claremont Clinic,011-4779936,27.955838,-26.178211
Gauteng,Clinic,Crosby Clinic,011-8379119,27.989892,-26.1926
Gauteng,Clinic,Crown Gardens Clinic,011-4332351/011-4332335,28.00458,-26.24917
Gauteng,Clinic,Crystal Park Clinic,011-999-6690,28.370709,-26.137101
Gauteng,Specialised Psychiatric Hospital,Cullinan Rehabilitation Hospital,012-7347000,28.538929,-25.691202
Gauteng,Clinic,Dan Kubheka Clinic,011-999-6666,28.394479,-26.187793
Gauteng,Clinic,Danville Clinic,012-386-6052,28.13359,-25.74772
Gauteng,CHC,Dark City CHC,013-9357027,28.726485,-25.674777
Gauteng,Clinic,Daspoort Poli Clinic,012-379-3453,28.13167,-25.71389
Gauteng,Clinic,Daveyton East Clinic,011-999-6926/011-999-6924,28.439658,-26.134454
Gauteng,Clinic,Daveyton Ext Clinic,011-999-6926/011-999-6924,28.261911,-26.075501
Gauteng,Clinic,Davidsonville Clinic,011-7635932,27.848818,-26.154778
Gauteng,Clinic,Dawn Park Clinic,011-862-1008,28.257654,-26.306469
Gauteng,Clinic,De Wagensdrift Satellite Clinic,012-7352337,28.3141,-25.3051
Gauteng,Clinic,Diepkloof LA Clinic,011-9851104,27.946145,-26.237208
Gauteng,Clinic,Diepkloof Prov Clinic,011-9854501,27.94776,-26.240192
Gauteng,Clinic,Diepsloot South Clinic,011-4647182,28.00507,-25.93107
Gauteng,Clinic,Dilopye Clinic,127102903,28.19353,-25.38296
Gauteng,CHC,Discoverers CHC,011-6741200,27.894437,-26.166661
Gauteng,Clinic,DMA Kromdraai Clinic,083-4108454,27.78312,-25.98821
Gauteng,Satellite Clinic,Doornpoort Satellite Clinic,082-612-0511,28.25141,-25.6559
Gauteng,Central Hospital,Dr George Mukhari Hospital,012-5293875,28.01216,-25.61904
Gauteng,Clinic,Dr Helga Kuhn Clinic,016-581-0812,27.83708,-26.49727
Gauteng,Clinic,Dr Ramirez Martinez Clinic,011-6608737,27.75266,-26.07464
Gauteng,Clinic,Dr Yusuf Dadoo Gateway Clinic,011-951-6213/011-951-6214,27.78333,-26.09934
Gauteng,District Hospital,Dr Yusuf Dadoo Hospital,011-951-6000,27.78386,-26.09965
Gauteng,Clinic,Dresser Clinic,011-999-2850,28.135943,-26.355038
Gauteng,Clinic,Driehoek Clinic,016-932-5679,27.8462,-26.72609
Gauteng,Clinic,Duduza Clinic,011-999-9099,28.415497,-26.373584
Gauteng,Clinic,Dukathole Clinic,011-872-1777,28.190854,-26.22604
Gauteng,Clinic,East Lynne Clinic,012-8002288,28.2846,-25.70512
Gauteng,Clinic,Ebony Park / Kaalfontein Clinic,011-2610228,28.179631,-25.994083
Gauteng,Clinic,Eden Park Clinic,011-999-2114/011-999-2741,28.125998,-26.377001
Gauteng,Clinic,Edenvale Clinic,011-4525168,28.148708,-26.134842
Gauteng,Regional Hospital,Edenvale Hospital,011-321-6000,28.128374,-26.127921
Gauteng,CHC,Eersterust CHC,012-8061300,28.30801,-25.71645
Gauteng,Clinic,Eikenhof LA Clinic,082-4638951,27.987362,-26.334473
Gauteng,Clinic,Ekangala Clinic,013-9344381,28.752589,-25.697721
Gauteng,Clinic,Elandsfontein Clinic,011-4163507,27.50366,-26.26104
Gauteng,Clinic,Eldorado Park Ext 2 Clinic,011-945-4203,27.921023,-26.289298
Gauteng,Clinic,Eldorado Park Ext 9 Clinic,011-945-3188,27.889738,-26.299956
Gauteng,Satellite Clinic,Eldoraigne Satellite Clinic,012-6541080,28.14881,-25.83591
Gauteng,Clinic,Elias Motsoaledi Clinic,011-9364106,27.915648,-26.21833
Gauteng,Clinic,Elsburg Clinic,011-8243506/011-9990352,28.200595,-26.245744
Gauteng,CDC,Empilisweni CDC,016-593-9512,27.874382,-26.547603
Gauteng,Clinic,Endayeni Clinic,011-999-4339,28.191648,-26.01958
Gauteng,Clinic,Ennerdale Ext 8 Clinic,011-8551401,27.81714,-26.41318
Gauteng,Clinic,Ennerdale Ext 9 Clinic,082-8575972,27.831411,-26.402729
Gauteng,Clinic,Eric Ndeleni Clinic,071-6820581,27.76829,-26.19463
Gauteng,Clinic,Erin Clinic,011-926-4589,28.223432,-25.994213
Gauteng,CHC,Esangweni CHC,011-999-4362,28.201073,-26.022075
Gauteng,Clinic,Ethafeni Clinic,011-999-4361,28.214588,-26.023504
Gauteng,Clinic,Evaton Main Clinic,016-597-3022,27.866001,-26.53166
Gauteng,Clinic,Eyethu Yarona Clinic,082-8571918,27.927247,-25.990026
Gauteng,Clinic,Fanyana Nhlapo Clinic,011-4108439,27.78694,-26.15222
Gauteng,Regional Hospital,Far East Rand Hospital,011-8128300,28.4041,-26.236265
Gauteng,Clinic,FF Ribeiro Clinic,012-358-8770,28.19489,-25.74501
Gauteng,Clinic,Finetown Clinic,011-855-5929,27.858217,-26.414188
Gauteng,Clinic,First Avenue Clinic,011-999-8792,28.444317,-26.25051
Gauteng,Clinic,Florida Clinic,011-6744451,27.9128,-26.171173
Gauteng,Clinic,Fochville Clinic,018-7715767,27.48767,-26.48662
Gauteng,Clinic,Folang Clinic,012-358-0274,28.174,-25.74971
Gauteng,Clinic,Garankuwa View Clinic,072-254-0787,27.98322,-25.54823
Gauteng,Clinic,Gazankulu Clinic,023-375-7392,28.05619,-25.7808
Gauteng,Clinic,Geluksdal Clinic,011-999-7988,28.361042,-26.34236
Gauteng,Clinic,Germiston City Clinic,011-999-0525,28.164254,-26.217029
Gauteng,District Hospital,Germiston Hospital,011-345-1200,28.162948,-26.218874
Gauteng,Clinic,Glenanda Clinic,011-4323546,28.038483,-26.271203
Gauteng,Clinic,Glenhavie Satellite Clinic,011-7511178,27.61567,-26.38992
Gauteng,Clinic,Goba Clinic,011-999-1351,28.15183,-26.34235
Gauteng,Clinic,Green Village Porta Cabin Clinic,011-9312924,27.804849,-26.236903
Gauteng,Clinic,Greenfields Clinic,011-999-2785,28.125408,-26.39655
Gauteng,Clinic,Greenspark Clinic,018-7712176,27.51478,-26.49359
Gauteng,Clinic,Halfway House Clinic,011-8053112,28.128514,-25.998816
Gauteng,Clinic,Hands of Compassion Clinic,083-4108573,27.91211,-25.97402
Gauteng,Clinic,Heidelberg Clinic,016-349-5721,28.351947,-26.503774
Gauteng,District Hospital,Heidelberg Hospital,016-431-1100,28.357912,-26.49873
Gauteng,Clinic,Helderkruin Clinic,011-7645403,27.869461,-26.13764
Gauteng,Regional Hospital,Helen Joseph Hospital,011-4891011,27.99031,-26.183916
Gauteng,Clinic,Hercules Clinic,082-6120511,28.1477,-25.712
Gauteng,Clinic,Hikhensile Clinic,011-3102147,28.204485,-25.992591
Gauteng,CHC,Hillbrow CHC,011-6943775/011-6943776,28.045768,-26.19298
Gauteng,Clinic,Holani Clinic,012-8125026,28.37559,-25.70436
Gauteng,Clinic,Itireleng (Region B) Clinic,011-999-4371,28.178177,-26.045024
Gauteng,CHC,Itireleng CHC,119890304,27.871354,-26.217873
Gauteng,Clinic,Itumeleng Clinic,014-5761019,27.60122,-25.89636
Gauteng,Clinic,Jabavu/Vusabantu Clinic,011-9844014,27.871703,-26.253394
Gauteng,CHC,Jabulane Dumane CHC,011-863-7791,28.218952,-26.367295
Gauteng,Clinic,Jack Hindon Clinic,012-5656-6667,28.16902,-25.66656
Gauteng,Clinic,Jameson Park Satellite Clinic,071-6869859,28.41774,-26.45114
Gauteng,Clinic,Jan Maree Clinic,011-6603338,27.74743,-26.09488
Gauteng,Clinic,Jeppe Clinic,011-6141474,28.06758,-26.20617
Gauteng,Clinic,Jeppe Street Clinic,011-336-0517,28.06758,-26.20617
Gauteng,Clinic,Johan Deo Clinic,016-989-9900,27.80894,-26.60141
Gauteng,CHC,Johan Heyns CHC,016-950-6000,27.83411,-26.70309
Gauteng,Clinic,Joubert Park Clinic,011-7254704,28.047911,-26.195339
Gauteng,Clinic,Joy Clinic,011-999-7359,28.463208,-26.127526
Gauteng,Clinic,Jubilee Gateway Clinic,012-717-9348,28.26582,-25.40306
Gauteng,District Hospital,Jubilee Hospital,012-717-9300,28.26582,-25.40306
Gauteng,Regional Hospital,Kalafong Hospital,012-318-6500,28.08948,-25.76277
Gauteng,Clinic,Kameeldrift Clinic,071-4715850,28.181144,-25.385717
Gauteng,Clinic,Kanana Clinic,013-9357908,28.606977,-25.777576
Gauteng,Clinic,Karenpark Clinic,012-358-9105,28.108,-25.67252
Gauteng,Clinic,Katlehong North Clinic,011-999-1389,28.155022,-26.312632
Gauteng,Clinic,Kekana Gardens Clinic,012-7114327,28.308393,-25.378319
Gauteng,Clinic,Kekanastad Clinic,012-7100016,28.245643,-25.35872
Gauteng,Clinic,Kempton Park Civic Centre Clinic,011-999-3595,28.226044,-26.102079
Gauteng,Clinic,Kemston Clinic,011-999-6695,28.313519,-26.187678
Gauteng,CHC,Kgabo CHC,071-6790008,28.05896,-25.47034
Gauteng,Clinic,Khumalo Clinic,011-903-2138,28.161972,-26.383657
Gauteng,CHC,Khutsong CHC,018-7834366,27.32663,-26.34856
Gauteng,Clinic,Khutsong East Clinic,018-7830290,27.32437,-26.31549
Gauteng,Clinic,Khutsong Ext 3 Clinic,072-1347848,27.30307,-26.3417
Gauteng,Clinic,Khutsong South Clinic,018-7835359,27.33127,-26.34764
Gauteng,Clinic,Kibler Park Clinic,011-943-2002,28.008914,-26.319342
Gauteng,Clinic,Kingsway Clinic,011-999-7926,28.367171,-26.23064
Gauteng,Clinic,Klipspruit West Clinic,011-9471425,27.881327,-26.289288
Gauteng,Satellite Clinic,Klopper Park Clinic,011-3921598,28.197473,-26.146835
Gauteng,Clinic,Kocksoord Clinic,011-4151466,27.64601,-26.2219
Gauteng,Clinic,Kokosi Clinic,082-9055918,27.46834,-26.49437
Gauteng,Clinic,Kookrus Clinic,016-363-1101,28.00349,-26.58894
Gauteng,District Hospital,Kopanong Hospital,016-428-7000,27.93328,-26.63793
Gauteng,Clinic,Krugersdorp Central Clinic,011-6607772,27.76868,-26.09939
Gauteng,Clinic,KT Motubatse Clinic,012-791=9125,28.08917,-25.58392
Gauteng,CHC,Kwa-Thema CHC,011-7379243,28.39129,-26.293768
Gauteng,CHC,Laudium CHC,012-3749900,28.08798,-25.78401
Gauteng,Clinic,Laudium Clinic,012-3742399,28.10701,-25.78768
Gauteng,Clinic,Lawley 2 Clinic,011-023-0043,27.80625,-26.38272
Gauteng,Clinic,Lawley Clinic,011-855-5869,27.81197,-26.391423
Gauteng,Clinic,Lenasia Clinic,011-8520216/011-8526073/4/5,27.850776,-26.314757
Gauteng,Clinic,Lenasia Ext 10 Clinic,011-857-1559,27.872674,-26.339735
Gauteng,Clinic,Lenasia Ext 2 Clinic,011-8521055,27.825311,-26.32109
Gauteng,CHC,Lenasia South CHC,011-2139600/011-2139612,27.850052,-26.378414
Gauteng,Clinic,Lenasia South Civic Centre Clinic,011-855-1617,27.862299,-26.388664
Gauteng,Clinic,Leondale Clinic,011-999-1354,28.18256,-26.30198
Gauteng,Regional Hospital,Leratong Hospital,011-4113531,27.80774,-26.17133
Gauteng,Clinic,Lethabong Clinic,011-999-6639,28.296589,-26.222561
Gauteng,CHC,Levai Mbatha CHC,016-591-1030,27.8441,-26.53031
Gauteng,CHC,Lillian Ngoyi CHC,011-9330202,27.934628,-26.259523
Gauteng,Clinic,Lotus Gardens Clinic,083-6556494,28.0825,-25.74521
Gauteng,Clinic,Lucky Mkhwanazi Clinic,011-999-9142,28.415054,-26.385464
