Region,Proclaimed Magisterial District,Court Type,Office Name,Previously known as,Also known as,Equality Court,Small Claims Court,Sexual Offence Court,Mediation Services,telephone,fax,postal_adress,adress,GPS
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Belfast']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">eMakhazeni</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Belfast</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '013 253 1138/ 1147']","[<span class=""officecolor"">Fax: </span>, '013 253 0035']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X601, Belfast 1100']","[<span class=""officecolor"">Physical Address: </span>, '100 Van Riebeeck Street, Belfast 1100\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.69342; 30.03615\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Witbank']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">eMalahleni</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Witbank</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '013 656 2221/ 2222/ 2223/ 2240/ 2249']","[<span class=""officecolor"">Fax: </span>, '013 656 5023']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X7210, eMalahleni 1035']","[<span class=""officecolor"">Physical Address: </span>, '14 Delville Street, eMalahleni 1035\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.8761; 29.2126\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">eManzana</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Badplaas</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '017 843 1033']","[<span class=""officecolor"">Fax: </span>, '017 843 2500']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X702, Carolina 1185']","[<span class=""officecolor"">Physical Address: </span>, 'SAPS, Robertson Street, Badplaas\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.95844; 30.56844\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Piet Retief']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">eMkhondo</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Piet Retief</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '017 826 2085']","[<span class=""officecolor"">Fax: </span>, '017 826 2085 Tel/Fax']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X5, Piet Retief 2380']","[<span class=""officecolor"">Physical Address: </span>, '23 Church Street, Piet Retief 2380\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-27.00406; 30.80305\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">eNtokozweni</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Machadodorp</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '013 253 1138/ 1147']","[<span class=""officecolor"">Fax: </span>, '013 253 0035']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X601, Belfast 1100']","[<span class=""officecolor"">Physical Address: </span>, '8 Plein Street, Machadodorp\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.66838; 30.25337\t']"
"[<span class=""officecolor"">Region:</span>, ' Free State']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Fauresmith']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Fauresmith</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '051 723 0002']","[<span class=""officecolor"">Fax: </span>, '051 723 0103']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X8, Fauresmith 9978']","[<span class=""officecolor"">Physical Address: </span>, '52 Voortrekker Street, Fauresmith 9978\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 25.31177; S -29.74652\t']"
"[<span class=""officecolor"">Region:</span>, ' Free State']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Ficksburg']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Ficksburg</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '051 933 2201']","[<span class=""officecolor"">Fax: </span>, '051 933 4479']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X032, Ficksburg 9730']","[<span class=""officecolor"">Physical Address: </span>, '16 Voortrekker Street, Ficksburg 9730\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 27.87423; S -28.87131\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Flagstaff']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Flagstaff</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '039 252 0127/ 0188']","[<span class=""officecolor"">Fax: </span>, '039 252 0182']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 504, Flagstaff 4810']","[<span class=""officecolor"">Physical Address: </span>, 'Main Street (R61), Flagstaff 4810\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 29.5007; S -31.08061\t']"
"[<span class=""officecolor"">Region:</span>, ' Gauteng']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Fochville']","[<span class=""officecolor"">Court Type: </span>, 'Detached Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Fochville</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '018 771 2017']","[<span class=""officecolor"">Fax: </span>, '018 771 4188']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Fochville 2515']","[<span class=""officecolor"">Physical Address: </span>, 'Cnr Losberg Avenue & 9th Str, Fochville 2515\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-26.49291; 27.49447\t']"
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Formosa</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2"">Plettenberg Bay</span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '044 382 1141/ 2/3']","[<span class=""officecolor"">Fax: </span>, '044 382 2708']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X014, Knysna 6570']","[<span class=""officecolor"">Physical Address: </span>, 'c/o Jackson & Main, Plettenberg Bay \t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 23.37173; S -34.05771\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Fort Beaufort']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Fort Beaufort</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '046 645 1104']","[<span class=""officecolor"">Fax: </span>, '046 645 4075']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 227, Fort-Beaufort 5720']","[<span class=""officecolor"">Physical Address: </span>, 'Market Street 4, Fort-Beaufort 5720\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 26.63076; S -32.77756\t']"
"[<span class=""officecolor"">Region:</span>, ' Free State']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Fouriesburg']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Fouriesburg</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '058 223 0203 / 303 5386']","[<span class=""officecolor"">Fax: </span>, '058 223 0652']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X703, Fouriesburg 9725']","[<span class=""officecolor"">Physical Address: </span>, '40 Reitz Street, Fouriesburg 9725\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 28.20728; S -28.61974\t']"
"[<span class=""officecolor"">Region:</span>, ' Free State']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Frankfort']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Frankfort</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '058 813 1000']","[<span class=""officecolor"">Fax: </span>, '058 813 1638']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Frankfort 9830']","[<span class=""officecolor"">Physical Address: </span>, '24 Van Reenen Street, Frankfort 9830\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 28.49206; S -27.27686\t']"
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Franschoek</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '021 872 3127']","[<span class=""officecolor"">Fax: </span>, '021 872 9116']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X5003, Paarl 7622']","[<span class=""officecolor"">Physical Address: </span>, 'n/a\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 19.1491; S -33.902\t']"
"[<span class=""officecolor"">Region:</span>, ' Northern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Fraserburg']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Fraserburg</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '023 741 1008']","[<span class=""officecolor"">Fax: </span>, '023 741 1049']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Fraserburg 6960']","[<span class=""officecolor"">Physical Address: </span>, '54 Voortrekker Street, Fraserburg 6960\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-31.91361; 21.5125\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Bolobedu']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Ga-Kgapane</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2"">Bolobedu</span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '015 328 3002/ 3768/ 3814']","[<span class=""officecolor"">Fax: </span>, '015 328 3002']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X701, Ga-Kgapane 0838']","[<span class=""officecolor"">Physical Address: </span>, 'Next to Bolobedu Police Station, Ga-Kgapane 0838\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-23.64425; 30.22234\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Ga-Maleboho</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Malebogo</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2"">Kibi</span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '015 505 3151/ 52']","[<span class=""officecolor"">Fax: </span>, '015 505 3153']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X5001, Bochum 0790']","[<span class=""officecolor"">Physical Address: </span>, 'SAPS Maleboho, Eldorado village, RADITSHABA, 0718\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-22.98094; 28.93737\t']"
"[<span class=""officecolor"">Region:</span>, ' Limpopo']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Ga-Matlala</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Matlala</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '015 223 5112/ 6087/ 6335']","[<span class=""officecolor"">Fax: </span>, '015 223 5101']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X4007, Seshego 0742']","[<span class=""officecolor"">Physical Address: </span>, 'Next to Police Station\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-23.67473; 29.0319\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Kriel']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Ga-Nala</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2"">Kriel</span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '017 648 2196/7']","[<span class=""officecolor"">Fax: </span>, '017 648 3532']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X5010, Kriel 2271']","[<span class=""officecolor"">Physical Address: </span>, 'c/o Llewellyn & Bronwyn Street, Kriel 2271\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-26.25121; 29.25995\t']"
"[<span class=""officecolor"">Region:</span>, ' North West']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Odi']","[<span class=""officecolor"">Court Type: </span>, 'Detached Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Ga-Rankuwa</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2"">Odi</span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>, 'Yes']","[<span class=""officecolor"">Tel: </span>, '012 700 8200']","[<span class=""officecolor"">Fax: </span>, '012 703 2223/3189']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1002, Ga-Rankuwa 0208']","[<span class=""officecolor"">Physical Address: </span>, '8835 Ntlatsang Street Zone 5, Ga-Rankuwa 0208\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-26.60997; 24.17689\t']"
"[<span class=""officecolor"">Region:</span>, ' Northern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Galeshewe']","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Galeshewe Community Court</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>, 'Yes']","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, 'See Kimberley']","[<span class=""officecolor"">Fax: </span>, 'See Kimberley']","[<span class=""officecolor"">Postal Address: </span>, 'See Kimberley']","[<span class=""officecolor"">Physical Address: </span>, 'See Kimberley\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-28.7155; 24.7234\t']"
"[<span class=""officecolor"">Region:</span>, ' North West']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Kagisano-Molopo']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Ganyesa</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '053 998 8100']","[<span class=""officecolor"">Fax: </span>, '053 998 3302']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X508, Ganyesa 8613']","[<span class=""officecolor"">Physical Address: </span>, 'Next to Post Office, Main Road, Ganyesa 8613\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-25.59571; 28.00104\t']"
"[<span class=""officecolor"">Region:</span>, ' Free State']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Philippolis']","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Gariepdam</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Hendrik Verwoerd Dam</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes (Sessions Only)']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '051 773 0002']","[<span class=""officecolor"">Fax: </span>, '051 773 0028']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Philippolis 9970']","[<span class=""officecolor"">Physical Address: </span>, 'Jan Groeintjie Street\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 25.49165; S -30.59144\t']"
"[<span class=""officecolor"">Region:</span>, ' Northern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Namaqualand']","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Garies</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes (Sessions Only)']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '027 652 1013']","[<span class=""officecolor"">Fax: </span>, '027 652 1123']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X221, Garies, 8220']","[<span class=""officecolor"">Physical Address: </span>, '20 Hoof Street, Garies\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-30.5595; 17.9898\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Gelvandale</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, 'See Port Elizabeth']","[<span class=""officecolor"">Fax: </span>]","[<span class=""officecolor"">Postal Address: </span>]","[<span class=""officecolor"">Physical Address: </span>, 'C/O Regional Road and Voisin Street\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 25.54973; S -33.90995\t']"
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Genadendal</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '028 212 1076']","[<span class=""officecolor"">Fax: </span>, '028 214 1630']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Caledon 7230']","[<span class=""officecolor"">Physical Address: </span>, 'n/a\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 19.5394; S -34.0655\t']"
