Adress,Court Type,Equality Court,GPS,Mediation Services,Office Name,Region,Sexual Offence Court,Small Claims Court,adress,fax,telephone
Justice Lane c/o Justice & Biggar Streets Glencoe 2930,Magistrate Court,Yes,-28.17633 30.15093,No,Glencoe,KwaZulu-Natal,No,Yes,,034 393 2147,034 393 1164/1190
n/a,Periodical Court,No,-27.97621 31.03228,No,Gluckstadt,KwaZulu-Natal,No,No,,034 980 9203,034 981 4911/4912/9809
A Avenue No 3 SAPS,Periodical Court,No, 26.40366;  -30.55931,No,Goedemoed,Free State,No,No,,051 663 0536,051 663 0291
273 Voortrekker Street (c/o Voortrekker & Molteno) Goodwood 7460,Magistrate Court,Yes, 18.56515;  -33.90897,No,Goodwood,Western Cape,No,Yes,,021 592 4064,021 591 3171/ 3172 /3174
26 Church Street Graaff-Reinet 6280,Magistrate Court,Yes,-32.25166 24.5353,No,Graaff-Reinet,Eastern Cape,No,Yes,,049 892 2377,049 892 2263
31 Main Road Grabouw 7160,Detached Court,No, 19.01825;  -34.15382,No,Grabouw,Western Cape,No,Yes,,021 859 1675,021 859 3661/ 4461
19 Monument Avenue Graskop 1270,Branch Court,No,-24.93434; 30.83992,No,Graskop,Mpumalanga,No,Yes (Sessions Only),,013 767 1221 Tel/Fax,013 767 1221
1 Hardekool Street Gravelotte,Periodical Court,No,-23.95181; 30.61314,No,Gravelotte,Limpopo,No,Yes (Sessions Only),,015 781 1819,015 781 2731
113 Lang Street Great Brak River ,Periodical Court,No, 22.21892;  -34.05467,No,Great Brak River,Western Cape,No,No,,044 693 2891,044 693 3113/ 3140/ 3056
55 Bell (c/o Bell & Pine) Street Greytown 3250,Magistrate Court,Yes,-29.06085 30.59394,No,Greytown,KwaZulu-Natal,No,Yes,,033 413 1122,033 413 1122/3
19 Hoof Street Griquatown 8365,Magistrate Court,Yes,-28.84843; 23.25136,No,Griekwastad,Northern Cape,No,Yes,,053 343 0531,053 343 0007
13 Taute Street (cnr Taute & Van Riebeeck Str) Groblersdal 0470,Magistrate Court,Yes,-25.16838; 29.39426,Yes,Groblersdal,Limpopo,Yes,Yes,,013 262 3000,013 262 2033/ 34
1 Main Road Groblershoop 8850,Detached Court,Yes,-28.89337; 21.98279,No,Groblershoop,Northern Cape,No,Yes,,054 833 0431,054 833 0140/0430
86 Voortrekker Street Next to Groot Marico SAPS,Detached Court,No,-25.59915; 26.41841,No,Groot Marico,North West,No,Yes,,014 503 0094,014 503 0016
n/a,Branch Court,No, 18.5951;  -33.9929,No,Guguletu Community Court,Western Cape,No,No,,021 762 7842,021 799 1800
Rush Street Haenertsburg,Periodical Court,No,-23.94078; 29.94045,No,Haenertsburg,Limpopo,No,No,,015 294 6074,015 294 6000
SAPS Makuya Mthiphu Street on the R523 HaMakuya,Periodical Court,No,-22.65219; 30.8274,No,HaMakuya,Limpopo,No,No,,015 962 5566,015 962 5550
Phillip Street Hankey 6350,Magistrate Court,Yes,-33.83365 24.88429,No,Hankey,Eastern Cape,No,Yes,,042 284 0093,042 284 0303
1 Church Street Hanover 7005,Magistrate Court,Yes,-31.06662; 24.44278,No,Hanover,Northern Cape,No,Yes,,053 643 0605,053 643 0001
Main Road Harding 4680,Magistrate Court,Yes,-30.57632 29.88255,No,Harding,KwaZulu-Natal,No,Yes,,039 433 1900,039 433 1009
39 Southey Street Harrismith 9880,Magistrate Court,Yes, 29.12825;  -28.26868,No,Harrismith,Free State,No,Yes,,058 623 0669,058 623 0627
Cnr Van Velden & Court Street Brits 0250,Periodical Court,No,-25.634779; 27.779294,No,Hartbeestpoort Dam,North West,No,No,,012 252 3223,012 252 3223
c/o Du Toit Street and Voortrekker Street Hartebeesfontein ,Periodical Court,No,-26.75795; 26.42585,No,Harteeesfontein,North West,No,No,,018 462 4275,018 464 9200 018 464 9211
c/o Jan Viljoen & Strydom Street Hartswater 8570,Magistrate Court,Yes,-27.75307; 24.80513,No,Hartswater,Northern Cape,No,Yes,,053 474 0941,053 474 0922
Cnr Burnette & Park Street Hatfield 0083,Branch Court,No,-25.75026; 28.22885,No,Hatfield,Gauteng,No,No,,012 342 9961,012 342 0059/ 012 319 4136 (PTA)
Near SAPS Stand 16 Chief Mgiyeni Khumalo Drive\xa0White River 1240,Branch Court,No,-25.046119; 31.128727,No,Hazyview,Mpumalanga,No,No,,013 750 0426,013 751 1147/8
62 Begeman & Ueckerman Street Heidelberg 1438,Magistrate Court,Yes,-26.49941; 28.35462,Yes,Heidelberg [GP,Gauteng,No,Yes,,016 349 6386,016 349 1930-3/ 6655
52 Van Riebeeck Street Heidelberg 6665,Magistrate Court,Yes, 20.95606;  -34.08918,No,Heidelberg [WC,Western Cape,No,Yes,,028 722 2374,028 722 1927/2874
32 Els Street Heilbron 9650,Magistrate Court,Yes, 27.96705;  -27.28347,No,Heilbron,Free State,No,Yes,,058 852 1504,058 852 2004
35 Church Street Hendrina 1095,Branch Court,No,-26.16026; 29.71638,No,Hendrina,Mpumalanga,No,Yes (Sessions Only),,013 293 0521,013 293 0054
3 Botha Street Hennenman 9445,Magistrate Court,Yes, 27.02596;  -27.97909,No,Hennenman,Free State,No,Yes,,057 573 2447,057 573 1137
63 Main Road Hermanus 7200,Magistrate Court,Yes, 19.23684;  -34.41911,No,Hermanus,Western Cape,No,Yes,,028 313 1034,028 312 3713
10 Strauss Street Hertzogville 9482,Periodical Court,No, 25.50411;  -28.12734,No,Hertzogville,Free State,No,Yes (Sessions Only),,053 421 9016,053 421 9016
n/a,Periodical Court,No,-26.29345; 23.17933,No,Heunigvlei,Northern Cape,No,No,,053 773 1502/1156,053 773 1868/ 1869/ 1307/ 1550
11 Minerva Cresent Hibberdene,Periodical Court,No,-30.57749 30.57074,No,Hibberdene,KwaZulu-Natal,No,No,,039 978 3258,039 978 9400
Main Road Highflats,Periodical Court,No,-30.25927 30.19244,No,Highflats,KwaZulu-Natal,No,No,,See Ixopo,See Ixopo
c/o 32 Sam Hancock & Queen Street Hillbrow 2038,Branch Court,No,-26.18722; 28.04465,No,Hillbrow,Gauteng,No,No,,011 642 2025 /0865071283,011 642 4441/2
5 George Street Himeville 3256,Magistrate Court,Yes,-29.74987 29.51315,No,Himeville,KwaZulu-Natal,No,Yes,,033 702 1430,033 702 1303
Lot 318 Saunders Street Hlabisa 3937,Branch Court,No,-28.14621 31.87622,No,Hlabisa,KwaZulu-Natal,No,No,,035 838 1179/1027,035 838 1022/3/4
Bulamain Road Polela Centre Hlanganani Establishment Hlanganani 3244,Magistrate Court,Yes,-29.76427 29.85464,No,Hlanganani [KZN,KwaZulu-Natal,No,Yes,,039 832 9461,039 832 0032
n/a,Periodical Court,No,-27.73714 31.00981,No,Hlobane,KwaZulu-Natal,No,No,,034 980 9203,034 981 4911/4912/9809
Old Main Road Hluhluwe,Periodical Court,No,-28.01969 32.2681,No,Hluhluwe,KwaZulu-Natal,No,No,,035 550 1526,035 550 0065
27 Muller Street Hobhouse 9740,Periodical Court,No, 27.14363;  -29.52988,No,Hobhouse,Free State,No,Yes (Sessions Only),,051 983 0031,051 983 0110
c/o Moose and Ohrigstad Street (R527) Hoedspruit,Branch Court,No,-24.35398; 30.951,No,Hoedspruit,Limpopo,No,Yes (Sessions Only),,015 781 1819,015 781 2731
Voortrekker Street Hofmeyr 5930,Magistrate Court,Yes,-31.65331 25.8038,No,Hofmeyr,Eastern Cape,No,Yes,,048 885 0288 Tel/Fax,048 885 0007
12 Van Zyl Street Hoopstad 9479,Magistrate Court,Yes, 25.90564;  -27.83609,No,Hoopstad,Free State,No,Yes,,053 444 1743,053 444 1882
24 Voortrekker Road Hopefield 7355,Magistrate Court,Yes, 18.35107;  -33.06274,No,Hopefield,Western Cape,No,Yes,,022 723 1522/0866445110,022 723 0506
1 Cathcart Street Hopetown 8750,Magistrate Court,Yes,-29.62108; 24.08467,No,Hopetown,Northern Cape,No,Yes,,053 203 0453,053 203 0000
Morling Street Howick 3290,Magistrate Court,Yes,-29.48788 30.23121,No,Howick,KwaZulu-Natal,No,Yes,,033 330 7155,033 330 2117/ 083 658 4359
Du Plessis Street Humansdorp 6300,Magistrate Court,Yes,-34.02845 24.77217,No,Humansdorp,Eastern Cape,No,Yes,,042 291 0732,042 291 0259
SAPS Ikageng Cnr Lekhele & Mogosti Street Potchefstroom,Branch Court,No,-26.719846; 27.062409,No,Ikageng,North West,No,No,,See Potchefstroom,See Potchefstroom
23 Mafahlane Road Impendle 3227,Magistrate Court,Yes,-29.5986 29.86721,No,Impendle,KwaZulu-Natal,No,Yes,,033 996 0462,033 996 0604/0015
23 Voortrekker Street Indwe 5445,Magistrate Court,Yes,-31.46951 27.33987,No,Indwe,Eastern Cape,No,Yes,,045 952 1132,045 952 1014
Main Road Ingwavuma 3968,Magistrate Court,Yes,-27.13309 31.99677,No,Ingwavuma,KwaZulu-Natal,No,Yes,,035 591 0071,035 591 0105/6
King Dinuzulu Township Iknayezi Street Eshowe 3815,Branch Court,No,-28.8899 31.49991,No,Inkanyezi,KwaZulu-Natal,No,No,,035 474 4745,035 474 2171/2
n/a,Periodical Court,No,-30.14829 29.57996,No,Insikeni,KwaZulu-Natal,No,No,,,See Umzimkulu
n/a,Periodical Court,No,-29.0798 31.46347,No,Inyono,KwaZulu-Natal,No,No,,035 340 1253,035 340 1415
2338 Ramaboa Street Zone 3 Itsoseng 2744,Detached Court,Yes,-26.50452; 25.37035,No,Itsoseng,North West,No,Yes,,018 338 2308,018 338 0100
52 Margaret Street Ixopo 3276,Magistrate Court,Yes,-30.15172 30.05952,No,Ixopo,KwaZulu-Natal,No,Yes,,039 834 1960,039 834 2017/8; 834 2173/4/5
Main Road Izingolweni 4260,Branch Court,No,-30.78542 30.12891,No,Izingolweni,KwaZulu-Natal,No,No,,039 534 1168,039 534 1100
6 Andries Pretorius Street Jacobsdal 8710,Magistrate Court,Yes, 24.77447;  -29.13057,No,Jacobsdal,Free State,No,Yes,,053 591 0554 / 0866447672,053 591 0034
12 Klooster Convent Street Jagersfontein 9974,Magistrate Court,Yes, 25.42807;  -29.75943,No,Jagersfontein,Free State,No,Yes,,051 723 0103,051 724 0002
Aliwal Road  Jamestown 9742,Periodical Court,No,-31.1203 26.81013,No,Jamestown,Eastern Cape,No,Yes (Sessions Only),,051 641 0931,051 641 0712
2 Piet Retief Street Jan Kempdorp 8550,Detached Court,Yes,-27.9164; 24.83714,No,Jan Kempdorp,Northern Cape,No,Yes,,053 456 0051,053 456 0361
46 Main Street Jansenville 6265,Magistrate Court,Yes,-32.9459 24.66629,No,Jansenville,Eastern Cape,No,Yes,,049 836 0260,049 836 0012
225 Market Street Jeppestown 2043,Branch Court,No,-26.20242; 28.06043,No,Jeppe,Gauteng,No,No,,011 614 5622,011 618 4516
1874 Vuka Section Jericho,Periodical Court,No,-25.34307; 27.81429,No,Jericho,North West,No,No,,012 703 2223/3189,012 700 8255
26 Fox Street (Cnr Fox & West Street) Johannesburg 2000,Magistrate Court,Yes,-26.20798; 28.03468,Yes,Johannesburg,Gauteng,Yes,Yes,,011 834 1222 /011 836 0671 Family Court,011 491 5000 / 011 639 0301 Family Court
8 Van Riebeeck Street Joubertina 5235,Magistrate Court,Yes,-33.82494 23.85433,No,Joubertina,Eastern Cape,No,Yes,,042 273 1128,042 273 1306
Stand 1212 Kabokweni 1245,Magistrate Court,Yes,-25.347; 31.12391,No,Kabokweni,Mpumalanga,No,Yes,,013 796 0881/ 0865077652,013 796 0261
23 Kagiso Avenue Krugersdorp 1739,Detached Court,Yes,-26.15126; 27.78797,Yes,Kagiso,Gauteng,No,Yes,,011 410 0552,011 410 1485
26 Voortrekker Street Kakamas 8870,Detached Court,Yes,-28.77405; 20.62247,No,Kakamas,Northern Cape,No,Yes,,054 431 1306,054 431 0705
Cnr Cobra & Wasp Street Kanyamazane,Branch Court,No,-25.46513; 31.18456,No,Kanyamazane,Mpumalanga,No,No,,013 796 0881/ 0865077652,013 796 0261
13 Eendracht Street,Periodical Court,No,-33.95385 24.29437,No,Kareedouw,Eastern Cape,No,Yes (Sessions Only),,,See Humansdorp
Hendrik van Eck Road Kathu 8446,Detached Court,Yes,-27.69962; 23.04522,No,Kathu,Northern Cape,Yes,Yes,,053 723 3223,053 723 3221
Main Street (R349),Periodical Court,No,-32.67945 28.37483,No,Kei Mouth,Eastern Cape,No,No,,,See Komga
42 Main Street Keimoes 8860,Detached Court,Yes,-28.70675; 20.96795,No,Keimoes,Northern Cape,No,Yes,,054 461 1582,054 461 1221
Cemetery Avenue  Keiskammahoek 5670,Magistrate Court,Yes,-32.67995 27.14602,No,Keiskammahoek,Eastern Cape,No,Yes,,040 658 0395,040 658 0204
17 Monument Road Kempton Park 1620,Magistrate Court,Yes,-26.10212; 28.2326,Yes,Kempton Park,Gauteng,No,Yes,,011 394 2507,011 395 6300
Brussel Street Kenhardt 8900,Magistrate Court,Yes,-29.34709; 21.15304,No,Kenhardt,Northern Cape,No,Yes,,054 651 0232,054 651 0024
Oettle Street,Periodical Court,No,-33.68039 26.66733,No,Kenton on Sea,Eastern Cape,No,No,,,See Port Alfred
53 Van Rensburg Street Kestell 9860,Periodical Court,No, 28.70317;  -28.31196,No,Kestell,Free State,No,No,,058 653 1680,058 653 1116
Cnr Kgosi Mampuru & Klawer Street Pretoria 001,Branch Court,No,-25.76048; 28.1814,No,Kgosi Mampuru,Gauteng,No,No,,012 328 6546,012 319 4000
c/o Steve Biko & Walter Sisulu Street Khayelitsha 7784,Detached Court,Yes, 18.67645;  -34.04751,No,Khayelitsha,Western Cape,No,Yes,,021 360 1412,021 360 1400
01 Sompane Street Next to Khutsong Police Station,Branch Court,No,-26.34324; 27.33109,No,Khutsong,Gauteng,No,No,,018 783 2938 Police Station,018 783 2609
c/o Knight & Stead Street Kimberley 8300,Magistrate Court,Yes,-28.73665; 24.76609,No,Kimberley,Northern Cape,Yes,Yes,,053 833 2576/ 832 7404,053 807 0600 / 073-1133360
117 Alexandra Road King Williams town 5600,Magistrate Court,Yes,-32.87222 27.38756,No,King William’s Town,Eastern Cape,No,Yes,,043 642 1015,043 642 3548
R72 (N2 from Grahamstown to PE),Periodical Court,No,-33.64668 25.87832,No,Kinkelbos,Eastern Cape,No,No,,,See Alexandria
Middle Street Kirkwood 6120,Magistrate Court,Yes,-33.39882 25.44366,No,Kirkwood,Eastern Cape,No,Yes,,042 230 0576,042 230 0313
25 Niewoudt Street Klawer,Periodical Court,No, 18.62488;  -31.77277,No,Klawer,Western Cape,No,No,,027 219 1563,027 219 1002
27 OR Tambo Street Klerksdorp 2570,Magistrate Court,Yes,-26.86611; 26.66495,Yes,Klerksdorp,North West,Yes,Yes,,018 462 4275,018 464 9200 018 464 9211
N14 Krugersdorp and Ventersdorp Klerkskraal,Periodical Court,No,-26.25171; 27.1634,No,Klerkskraal,North West,No,No,,018 264 2404,018 264 2036/7
Next to SAPS R338,Periodical Court,No,-33.02154 24.33272,No,Klipplaat,Eastern Cape,No,Yes (Sessions Only),,,See Jansenville
49 Beacon Road Kliptown 1812,Branch Court,No,-26.28322; 27.8874,Yes,Kliptown,Gauteng,No,Yes (Sessions Only),,011 945 6381,011 945 1164
11 Main Street Knysna 6570,Magistrate Court,Yes, 23.0523;  -34.03638,No,Knysna,Western Cape,No,Yes,,044 382 2708,044 382 1141/ 2/3
6 Hampden Street Koffiefontein 9986,Magistrate Court,Yes, 25.00256;  -29.40947,No,Koffiefontein,Free State,Yes,Yes,,053 205 0042,053 205 0002
5 Barker Street Kokstad 4700,Magistrate Court,Yes,-30.55084 29.4257,No,Kokstad,KwaZulu-Natal,No,Yes,,039 727 1642,039 727 2010/ 2011
SAPS Blinkpan,Periodical Court,No,-26.09934; 29.45108,No,Komati,Mpumalanga,No,No,,013 282 5377,013 283 7500
09 Louw Street near SAPS Komatipoort,Periodical Court,No,-25.43561; 31.95529,No,Komatipoort,Mpumalanga,No,Yes,,013 712 5122,013 712 2104/ 3284/ 3267
1 Government Avenue Komga 4950,Magistrate Court,Yes,-32.5758 27.89227,No,Komga,Eastern Cape,No,Yes,,043 831 1281,043 831 1019
Church Street Koppies 9540,Magistrate Court,Yes, 27.57517;  -27.24207,No,Koppies,Free State,No,Yes,,056 777 2578,056 777 1814
46 Malan Street Koster 0348,Magistrate Court,Yes,-25.86492; 26.89701,No,Koster,North West,No,Yes,,014 543 4880,014 543 2024/2357
1 Main Street Kranskop 3268,Magistrate Court,Yes,-28.96662 30.86266,No,Kranskop,KwaZulu-Natal,No,Yes,,033 444 1330,033 444 1603
Cnr Mark & Murray Street Kroonstad 9500,Magistrate Court,Yes, 27.2333;  -27.66915,No,Kroonstad,Free State,No,Yes,,056 212 6706,056 212 4161
cnr  Commissioner and Biccard Streets Krugersdorp 1739,Magistrate Court,Yes,-26.0992; 27.7673,Yes,Krugersdorp,Gauteng,No,Yes,,011 665 5013,011 660 3711/3
1269 Mothibi Road Kudumane 8474,Magistrate Court,Yes,-27.455252; 23.433864,No,Kudumane,Northern Cape,No,Yes,,053 773 1502/1156,053 773 1868/ 1869/ 1307/ 1550
122 Van Riebeeck Avenue Kuils River 7580,Magistrate Court,Yes, 18.68291;  -33.93266,No,Kuilsriver,Western Cape,No,Yes,,n/a,021 903 7902
Ben Malan Street Kuruman 8460,Magistrate Court,Yes,-27.45474; 23.43381,No,Kuruman,Northern Cape,No,Yes,,053 712 2021,053 712 1081
Gobede Street Kwa Thema 1575,Branch Court,No,-26.27947; 28.3952,No,Kwa Thema,Gauteng,No,No,,011 811 2296,011 736 4406
Pononotini Street,Branch Court,No,-33.80843 25.39546,No,Kwa-Nobuhle,Eastern Cape,No,No,,,See Uitenhage
n/a,Periodical Court,No,-31.91916 28.9781,No,Kwaaiman,Eastern Cape,No,No,,,See Mqanduli
127 King Shaka Street KwaDukuza\xa0 4450,Magistrate Court,Yes,-29.338 31.29044,No,KwaDukuza,KwaZulu-Natal,No,Yes,,032 552 1656,032 551 1201
106C Kwaggafontein Empumalanga 0458,Magistrate Court,Yes,-25.31087; 28.94654,No,Kwaggafontein,Mpumalanga,No,Yes,,013 986 0598,013 986 0131/2
1137 Ntombela Road KwaMashu,Branch Court,No,-29.73654 31.00064,No,KwaMashu,KwaZulu-Natal,No,No,,See Ntuzuma BC,See Ntuzuma BC
Nr 37 Section BA Kwamhlanga 1022,Magistrate Court,Yes,-25.43336; 28.71456,Yes,KwaMhlanga,Mpumalanga,No,Yes,,013 947 3490,013 947 2363/4
Mfundo Street KwamSane Mtubatuba 3935,Branch Court,No,-28.43328 32.13836,No,KwaMsane,KwaZulu-Natal,No,No,,035 551 1467,035 551 1060/1832/1833
Main Street Kwanbonambi,Periodical Court,No,-28.59909 32.08577,No,Kwambonambi,KwaZulu-Natal,No,No,,035 792 2527,035 772 1711/2/3
Main Road Kwangwanase 3973,Periodical Court,No,-26.99695 32.74401,No,Kwangwanase,KwaZulu-Natal,No,Yes (Sessions Only),,035 592 0493,035 592 0119
c/o Jameson & Van Zyl Street Laaiplek 7365,Branch Court,No, 18.15675;  -32.77114,No,Laaiplek,Western Cape,No,No,,022 783 0829,022 783 0090
57 Queen Street Ladismith 6655,Magistrate Court,Yes, 21.26777;  -33.49465,No,Ladismith,Western Cape,No,Yes,,028 551 1168,028 551 1009/ 1019
40 Indwe Road Lady Frere 5410,Magistrate Court,Yes,-31.70163 27.23712,No,Lady Frere,Eastern Cape,No,Yes,,047 878 0017,047 878 0011
19 Martin Street Lady Grey 9755,Magistrate Court,Yes,-30.71058 27.21532,No,Lady Grey,Eastern Cape,No,Yes,,051 603 3019,051 603 0024
21 Church Street Ladybrand 9745,Magistrate Court,Yes, 27.45637;  -29.19637,No,Ladybrand,Free State,No,Yes,,051 924 2474,051 924 3210
16 Keate Street Ladysmith 3370,Magistrate Court,Yes,-28.55916 29.77898,No,Ladysmith,KwaZulu-Natal,No,Yes,,036 631 0498,036 637 6771
SAPS Laersdrif ,Periodical Court,No,-25.36766; 29.85622,No,Laersdrift,Mpumalanga,No,No,,013 282 5377,013 283 7500
54 Station Street Laingsburg 6900,Magistrate Court,Yes, 20.85924;  -33.19728,No,Laingsburg,Western Cape,No,Yes,,023 551 1296,023 551 1010/ 1481
Voortrekker Street Lamberts Bay,Periodical Court,No, 18.30544;  -32.09259,No,Lamberts Bay,Western Cape,No,No,,027 482 2412,027 482 2114/5
7 Antonio Steni Street Langebaan ,Periodical Court,No, 18.03574;  -33.08286,No,Langebaan,Western Cape,No,No,,022 723 1522/0866445110,022 723 0506
Mbeki StreetLeboeng Village,Periodical Court,No,-24.50923; 30.64792,No,Leboeng,Limpopo,No,No,,013 216 1730,013 216 1091
Next to Mabhori Shopping Centre Chuenespoort 0737,Magistrate Court,Yes,-24.32035; 29.47842,Yes,Lebowakgomo,Limpopo,No,Yes,,015 633 7178,015 633 2600
n/a,Periodical Court,No, 21.9688;  -32.7661,No,Leeu-Gamka,Western Cape,No,No,,023 541 1955,023 541 1450/ 1831
2520 AP Moloto Street Lehurutshe,Magistrate Court,Yes,-25.49137; 25.98336,No,Lehurutshe,North West,No,Yes,,018 363 3387,018 363 5600/1/2/3/4
2 Station Place (Cnr Station & Nirvana Drive) Lenasia 1821,Branch Court,No,-26.31784; 27.82435,No,Lenasia,Gauteng,No,Yes (Sessions Only),,865074817,011 854 1305
Cnr Magistrate & Police Street Lenyenye 0857,Magistrate Court,Yes,-23.97211; 30.27002,No,Lenyenye,Limpopo,No,Yes,,015 355 3463,015 355 3414/5/6
2 Park Avenue Lephalale 0555,Magistrate Court,Yes,-23.67796; 27.73573,Yes,Lephalale,Limpopo,Yes,Yes,,014 763 3840,014 763 2178 / 763 1047
c/o Norda & Diaz Street SAPS Leslie,Periodical Court,No,-26.36962; 28.92187,No,Leslie,Mpumalanga,No,No,,017 632 2835,017 632 2204
Joubert Street Letsitele,Periodical Court,No,-23.89401; 30.39273,No,Letsitele,Limpopo,No,No,,015 307 4163,015 307 3770
Main RoadSAPS  Levubu,Periodical Court,No,-23.09212; 30.27622,No,Levubu,Limpopo,No,No,,015 516 0044,015 516 0181/2/3
Main Street (R61) Libode 5160,Magistrate Court,Yes,-31.54138 29.01547,No,Libode,Eastern Cape,No,Yes,,047 555 0101,047 555 0002
Landdros Maartens Avenue Lichtenburg 2740,Magistrate Court,Yes,-26.15958; 26.1506,Yes,Lichtenburg,North West,No,Yes,,018 632 3619,018 632 7900
Sentraal Weg Lime Acres,Periodical Court,No,-28.35899; 23.52476,No,Lime Acres,Northern Cape,No,Yes (Sessions Only),,053 313 2580,053 313 1155
20 Church Street Lindley 9630,Magistrate Court,Yes, 27.92125;  -27.88119,No,Lindley,Free State,No,Yes,,058 463 0615,058 463 0012 / 0083
Government Street SAPS Loeriesfontein,Periodical Court,No,-30.95631; 19.449,No,Loeriesfontein,Northern Cape,No,Yes (Sessions Only),,027 341 1483,027 341 1017/ 2920
11 Long Street Kempton Park 1620,Branch Court,No,-26.103781; 28.229819,No,Long Street,Gauteng,No,No,,011 970 1437,011 921 2606
No 1 Main Street Lothair,Periodical Court,No,-26.39039; 30.44042,No,Lothair,Mpumalanga,No,No,,017 819 2735,017 819 3462/ 63/66
103 Munnik Street Louis Trichardt 0920,Magistrate Court,Yes,-23.03811; 29.90637,Yes,Louis Trichardt,Limpopo,No,Yes,,015 516 0044,015 516 0181/2/3
Cnr King & Avenue Street Louwsburg 3150,Magistrate Court,Yes,-27.57725 31.28145,No,Louwsburg,KwaZulu-Natal,No,Yes,,034 907 5901,034 907 5015
"""SAPS Lows Creek\",Periodical Court,No,-25.64453; 31.29336,No,Low’s Creek,Mpumalanga,No,No,,013 712 5122,013 712 2104/ 3284/ 3267
Kerk Street Loxton,Periodical Court,No,-31.47715; 22.3501,No,Loxton,Northern Cape,No,Yes (Sessions Only),,053 621 0866,053 621 0007
cnr - Voortrekker and Fourie Steet,Periodical Court,No, 24.78775;  -29.75082,No,Luckhoff,Free State,No,No,,051 723 0103,051 723 0002
Chris Hani Street Lulekani 1392,Magistrate Court,Yes,-23.86722; 31.08087,No,Lulekani,Limpopo,No,Yes,,015 783 0620,015 783 0151/2
c/o Stanford & Main Street Lusikisiki 4820,Magistrate Court,Yes,-31.3646 29.57209,No,Lusikisiki,Eastern Cape,No,Yes,,039 253 1125,039 253 1512
Matzikama Street Lutzville,Periodical Court,No, 18.3448;  -31.55888,No,Lutzville,Western Cape,No,No,,027 213 4823,027 213 2010
n/a,Periodical Court,No,-24.99109; 30.23391,No,Maartenshoop,Mpumalanga,No,No,,013 235 3411,013 235 2325/6/7
Royal Road  Maclear 5480,Magistrate Court,Yes,-31.06629 28.34554,No,Maclear,Eastern Cape,No,Yes,,045 932 1429,045 932 1012
2583 Section 2 Next to Madadeni SAPS Madadeni 2951,Detached Court,Yes,-27.76073 30.02837,No,Madadeni,KwaZulu-Natal,Yes,Yes,,034 314 1102,034 329 7500
2 Mogakari Street Madikwe 2840,Detached Court,Yes,-25.35227; 26.52444,No,Madikwe,North West,No,Yes,,014 553 2733,014 553 2033/2538
5 Koster Road Magaliesburg,Periodical Court,No,-25.99804; 27.53917,No,Magaliesburg,Gauteng,No,No,,011 665 5013,011 660 3711-3
Area 7 Magatle Main Road Next to SAPS Magatle ,Branch Court,No,-24.45589; 29.41136,No,Magatle,Limpopo,No,Yes (Sessions Only),,015 483 0302 Tel/Fax,015 483 0302/3
Main Street Magudu 3170,Periodical Court,No,-27.53354 31.64893,No,Magudu,KwaZulu-Natal,No,No,,034 414 1303/ 907 5901,034 414 1011
Mahamba Border Post Mahamba,Periodical Court,No,-27.10485; 31.06845,No,Mahamba,Mpumalanga,No,No,,017 826 2085 Tel/Fax,017 826 2085
Mashona Main Road Mahlabatini 3865,Magistrate Court,Yes,-28.235 31.46825,No,Mahlabatini,KwaZulu-Natal,No,Yes,,035 873 0108,035 873 0101/2
Hospital Street Mokopane 0600,Magistrate Court,Yes,-24.15216; 28.98316,Yes,Mahwelereng,Limpopo,Yes,Yes,,015 483 0302 Tel/Fax,015 483 0302/3
Next to the Police Station Makgobistadt,Periodical Court,No,-25.75749; 25.10491,No,Makgobistad,North West,No,No,,018 384 3594,018 387 8000
119A High Street  Grahamstown 6140,Magistrate Court,Yes,-33.31116 26.52384,No,Makhanda,Eastern Cape,No,Yes,,046 622 5543,046 622 7303
Next to Makwane Police Station Witsieshoek 9870,Detached Court,No, 28.88083;  -28.53359,No,Makwane,Free State,No,Yes,,058 710 7123,058 710 1027 / 1446
Police Hospital Road Malamulele 0982,Magistrate Court,Yes,-23.00506; 30.6887,No,Malamulele,Limpopo,No,Yes,,015 851 1357,015 851 0022/3/4
57 Imbane Circle Malelane,Periodical Court,No,-25.49439; 31.51089,No,Malelane,Mpumalanga,No,No,,013 712 5122,013 712 2104/ 3284/ 3267
Next to Malipsdrift SAPS,Periodical Court,No,-24.17487; 30.00271,No,Malipsdrift,Limpopo,No,Yes (Sessions Only),,015 633 7177/8,015 633 7160/ 1/2/3/4
1 Piet Retief Street Malmesbury 7300,Magistrate Court,Yes, 18.72991;  -33.4604,No,Malmesbury,Western Cape,No,Yes,,022 482 4307,022 482 1121/ 1166/ 1141
138 Police Station Road Maluti 4740,Magistrate Court,Yes,-30.26287 28.78665,No,Maluti,Eastern Cape,No,Yes,,039 256 0616,039 256 0101
20 Shabangu Ave Pretoria 0122 ,Detached Court,No,-25.71432; 28.34785,No,Mamelodi,Gauteng,No,Yes,,012 805 1878,012 805 4001/8282
934 Unit 1\xa0 Shopping Complex  Mogwase 0314,Magistrate Court,Yes,-25.27177; 27.2379,Yes,Mankwe,North West,Yes,Yes,,014 555 5804,014 555 5800
1057 Unit C Mankweng Sovenga 0727,Magistrate Court,Yes,-23.88197; 29.70164,No,Mankweng,Limpopo,Yes,Yes,,015 267 1063,015 286 2200
