Northern Cape,John Taolo Gaetsewe [Kathu],Periodical Court,Deben,,,No,No,,,"053 313 1155 053 313 2580 Private Bag X3032,","1 Hoof Street, Dibeng"
"",,,,,,,,,,"Postmasburg, 8420",‐27.59847; 22.88326
North West,Tswaing[Delareyville],Magistrate Court,Delareyville,,,Yes,Yes,,,"053 948 9300 053 948 0904 Private Bag X5001,","23 General Delarey Street, ‐26.68668; 25.4575"
"",,,,,,,,,,Delareyville 2770,Delareyville 2770
Mpumalanga,Victor Khanye [Delmas],Magistrate Court,Delmas,,,Yes,Yes,,,"013 665 2081/ 013 665 5778 Private Bag X0005, Delmas","1 Dolomiet Street, Delmas"
"",,,,,,,,,,,‐26.14527; 28.68632
"",,,,,,,,,,2082/ 2042 2210,2210
Northern Cape,Frances Baard [Barkly West],Periodical Court,Delportshoop,,,No,No,,,"053 531 0621/23 053 531 0812 Private Bag X1, Barkly","4 Scholts Street, Delportshoop ‐28.41655; 24.30995"
"",,,,,,,,,,"West, 8375",
Gauteng,Ekurhuleni East [Nigel],Periodical Court,Devon,,,No,No,,,"011 814 8261‐3 011 814 5488 Private Bag X3004, Nigel","c/o Tria & Selbourne Streets, ‐26.3565; 28.78579"
"",,,,,,,,,,1490,Devon
Free State,,Magistrate Court,Dewetsdorp,,,Yes,Yes,,,"051 541 0021 051 541 0754 Private Bag X2, Dewetsdorp 16 Church street, Dewetsdorp E 26.66253; S ‐29.58432",
"",,,,,,,,,,9940,9940
Mpumalanga,Thaba Chweu [Graskop],Branch Court,Dientjie,,,No,No,,,"013 799 013 799 0211/0212 Private Bag X404, Graskop",Next to Police Station ‐24.61497; 30.80556
"",,,,,,,,,,0211/0212 1270,
Eastern Cape,,Branch Cour,Dimbaza,,,No,No,,,See Zwelitsha,Next to SAPS E 27.20609; S ‐32.83299
Mpumalanga,Mkhondo [Piet Retief [eMkhondo]],Periodical Court,Dirkiesdorp,,,No,No,,,"017 730 0156 017 730 0147 Private Bag X1010,","Main Road (R543), SAPS ‐27.173453; 30.402433"
"",,,,,,,,,,Wakkerstroom 2480,Dirkiesdorp
KwaZulu‐Natal,,Periodical Court,Donnybrook,,,No,No,,,"039 832 039 832 9461 Private Bag X508, Bulwer","Old Main Road, Donnybrook E 29.87935; S ‐29.92981"
"",,,,,,,,,,0016/0047 3244,
Eastern Cape,,Magistrate Court,Dordrecht,,,Yes,Yes,,,"045 943 1008 045 943 1661/5 Private Bag x 21, Dordrecht Mark Plein Nr 2, Dordrecht",E 27.04856; S ‐31.3747
"",,,,,,,,,,5435,5435
Limpopo,Modimolle [Modimolle],Periodical Court,Dorset,,,No,No,,,"014 717 5316 014 717 5369 Private Bag X1011,",Off the R33 ‐24.06071; 28.16088
"",,,,,,,,,,Modimolle 0510,
Northern Cape,Pixley Ka Seme [Douglas],Magistrate Court,Douglas,,,Yes,Yes,,,"053 298 1011 053 298 2809 Private Bag X6, Douglas,","14 Rhodes Street, Douglas, ‐29.05633; 23.77443"
"",,,,,,,,,,8730,8730
Western Cape,,Periodical Court,Drakenstein Prison,Victor Verster Prison,,No,No,,,"021 872 3127 021 872 9116 Private Bag X5003, Paarl",Cnr Market Street & Berg Rivier
"",,,,,,,,,,7622,"Boulevard, Paarl 7622"
KwaZulu‐Natal,,Branch Court,Dududu,,Vulamehlo,No,Yes (Sessions Only),,,"039 974 0142 039 974 0146 Private Bag X5508,","P77 Dududu Main Road,"
"",,,,,,,,,,Scottburgh 4180,"Scottburgh, 4180"
KwaZulu‐Natal,,Branch Court,Dukuza,,,No,No,,,"036 438 6063/4 036 438 6063 Private Bag X1632,","Dukuza Township, Bergville E 29.20827; S ‐28.74964"
"",,,,,,,,,,Bergville 3350,3350
Mpumalanga,Emakhazeni [Belfast],Periodical Court,Dullstroom,,,No,No,,,"013 253 1138/ 013 253 0035 Private Bag X601, Belfast","175 Voortrekker Street, ‐25.4183; 30.10481"
"",,,,,,,,,,1147 1100,Dullstroom
KwaZulu‐Natal,,Magistrate Court,Dundee,,,Yes,Yes,,,"034 212 1179 034 218 2494 Private Bag X2006, Dundee 34 Beaconsfield Street, Dundee E 30.23336; S ‐28.16163",
"",,,,,,,,,,3000,3000
Gauteng,Ekurhuleni East [Nigel],Periodical Court,Dunnottar,,,No,No,,,"011 814 8261‐3 011 814 5488 Private Bag X3004, Nigel","23 Porter Road, Dunnottar ‐26.35112; 28.43841"
Region MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC,SOC,MDS,Tel,Fax,Postal Physical,GPS [S;E]
KwaZulu‐Natal,Magistrate Court,Durban,,,Yes,Yes,Yes,,031 302 4111,031 332 5006,"Private Bag X54308, Durban Cnr Somtseu & Stanger Street, E 31.02868; S ‐29.84468",
"",,,,,,,,,,,4000 Durban 4001,
Eastern Cape,Magistrate Court,Dutywa,Idutywa,,Yes,Yes,,,047 489 1234,047 489 1449,"Private Bag x 1220, Idutywa Next to Police Station, Idutywa E 28.30459; S ‐32.09893",
"",,,,,,,,,,,5000 5000,
Limpopo Thabazimbi [Thabazimbi],Periodical Court,Dwaalboom,,,No,No,,,014 777 1543,014 772  2523,"Private Bag X535, SAPS Dwaalboom",‐24.72723; 26.80745
"",,,,,,,,,,,Thabazimbi 0380,
Limpopo Makhado [Dzanani],Magistrate Court,Dzanani,,Setooni 208MT,Yes,Yes,,,015 970 4005,015 970 4332,"Private Bag X2427, Louis Makadu Location, Road D3669 ‐22.89556; 30.03808",
"",,,,,,,,,,,"Trichardt 0920 [Hillside Street], Louis Trichard",
Limpopo Giyani [Giyani],Periodical Court,Dzumeri,,,No,No,,,015 812 3275,015 812 0423,P/Bag x572 Giyani 0826 Dzumeri Tribal Council,‐23.30713; 30.70588
Eastern Cape,Magistrate Court,East London,,,Yes,Yes,Yes,,043 702 8000,043 743 0840,"Private Bag x 9010, East 4 Buffalo Street, East London",E 27.90373; S ‐33.02075
"",,,,,,,,,,,London 5200 5200,
Free State,Magistrate Court,Edenburg,,,Yes,Yes,,,051 743 1102,051 743 1122,"Private Bag X14, Edenburg 21 Van Dyk Street, Edenburg",E 25.93777; S ‐29.73755
9908Gauteng Ekurhuleni Central [Germiston],Branch Court,Edenvale,,,No,No,,,011 453 9996,011 453 9996,"9908 Private Bag X1003, Cnr Linksfield & 1st Avenue,",‐26.149515; 28.150312
"",,,,,,,,,,,Germiston 1400 Edenvale 1609,
Free State,Periodical Court,Edenville,,,No,Yes,,,056 631 0014,056 631 0393,"Private Bag X1, Edenville 1 Jordan Street, Edenville 9535 E 27.67431; S ‐27.55514",
"",,,,,,,,,,,9535,
Mpumalanga Chief Albert Luthuli [Elukwatini],Magistrate Court,Eerstehoek,,Elukwatini,Yes,Yes,Yes,Yes,017 883 0090/,"017 883 0091/1283 Private Bag X1002,","Stand No. 9, Police Station",
"",,,,,,,,,9802,,"Elukwatini 1192 Road, Elukwatini 1192",‐26.06114; 30.78769
Gauteng Tshwane East [Ekangala],Detached Court,Ekangala,,,Yes,Yes,,Yes,013 934 4249/50 013 930 0238,,"Private Bag X369, Ekangala 4995 Section D, Ekangala 1021 ‐25.691407; 28.742122",
"",,,,,,,,,,,1021,
KwaZulu‐Natal,Branch Court,Ekuvukeni,,,No,No,,,034 261 1039,034 261 1695,"Private Bag X20030, Next to Ekuvukeni Police",E 30.15579; S ‐28.46148
"",,,,,,,,,,,"Ekuvukeni 3381 Station, Wasbank, Ekuvukeni",
"",,,,,,,,,,,3381,
KwaZulu‐Natal,Periodical Court,Elandslaagte,,,No,No,,,036 637 6771/2; 036 631 0498,,"Private Bag X9930, Old Main Road, Elandslaagte",E 29.95882; S ‐28.4012
"",,,,,,,,,637 6763/4,,Ladysmith 3370,
Limpopo Makhado [Hlanganani],Magistrate Court,Elim,Waterval,Hlanganani / Vongani,Yes,Yes,,,015 556,015 556 4110,"Private Bag X332, Elim Near Waterval Police Station",‐23.15916; 30.07591
"",,,,,,,,,4091/4052,,Hospital 0960,
Eastern Cape,Magistrate Court,Elliot,,,Yes,Yes,,,045 931 1013,045 931 1312,"Private Bag x 1, Elliot 5460 34 Voortrekker Street, Elliot",E 27.85056; S ‐31.33314
"",,,,,,,,,,,5460,
Eastern Cape,Magistrate Court,Elliotdale,,Xhora,Yes,Yes,,,047 577 0003,047 577 0344,"Private Bag x543, Elliotdale Erf 91 Main Street, Elliotdale",E 28.68471; S ‐31.96836
"",,,,,,,,,,,5070 5070,
Mpumalanga Emakhazeni [Belfast],Magistrate Court,eMakhazeni,Belfast,,Yes,Yes,,,013 253 1138/,013 253 0035,"Private Bag X601, Belfast 100 Van Riebeeck Street,",
"",,,,,,,,,,,,‐25.69342; 30.03615
"",,,,,,,,,1147,,1100 Belfast 1100,
Mpumalanga Emalahleni [Witbank],Magistrate Court,eMalahleni,Witbank,,Yes,Yes,,,013 656 2221/,013 656 5023,"Private Bag X7210, 14 Delville Street, eMalahleni",
"",,,,,,,,,2222/ 2223/,,eMalahleni 1035 1035,‐25.8761; 29.2126
"",,,,,,,,,2240/ 2249,,,
Mpumalanga Chief Albert Luthuli [Carolina],Periodical Court,eManzana,Badplaas,,No,No,,,017 843 1033,017 843 2500,"Private Bag X702, Carolina SAPS, Robertson Street,",‐25.95844; 30.56844
"",,,,,,,,,,,1185 Badplaas,
Mpumalanga Emakhazeni [Waterval Boven],Magistrate Court,Emgwenya,Waterval Boven,,Yes,Yes,,,013 257 0004,013 257 0670,"Private Bag X1, Waterval 1 Third Avenue, Waterval",
"",,,,,,,,,,,Boven 1195 Boven 1195,‐25.64478; 30.32519
Mpumalanga Mkhondo [Piet Retief [eMkhondo]],Magistrate Court,eMkhondo,Piet Retief,,Yes,Yes,,,017 826 2085,017 826 2085,"Private Bag X5, Piet Retief 23 Church Street, Piet Retief",‐27.00406; 30.80305
"",,,,,,,,,,Tel/Fax,2380 2380,
KwaZulu‐Natal,Magistrate Court,Emlazi,Umlazi,,Yes,Yes,Yes,,031 907 3955/,031 907 1480,"Private Bag X025, Mobeni V 1318 Mangosuthu High",E 30.92513; S ‐29.96176
"",,,,,,,,,1670,,"4060 Way, Umlazi 4066",
KwaZulu‐Natal,Magistrate Court,Empangeni,,,Yes,Yes,,,035 772,035 792 2527,"Private Bag X20023, 6 Union Street, Empangeni",E 31.89248; S ‐28.74345
"",,,,,,,,,1711/2/3,,Empangeni 3880 3880,
Mpumalanga Emakhazeni [Belfast],Periodical Court,eNtokozweni,Machadodorp,,No,No,,,013 253 1138/,013 253 0035,"Private Bag X601, Belfast 8 Plein Street, Machadodorp",
Mpumalanga,Msukaligwa [Ermelo],Magistrate Court,Ermelo,Yes,Yes,017 819 3462/,017 819 2735,"Private Bag X9003, Ermelo","17 Jan van Riebeeck Street,",‐26.52318; 29.98344
"",,,,,,63/66,,2350,Ermelo 2350,
KwaZulu‐Natal,,Magistrate Court,Eshowe,Yes,Yes,035 474 1127/8,035 474 4367,"Private Bag X507, Eshowe",c/o Main & William Chadwick,E 31.45578; S ‐28.90295
KwaZulu‐Natal,,Branch Court,Esikhawini,Ongoye,No,No,,035 796 0122,035 796 2074,"Private Bag X8501, H11 Ilanda Street, Esikhawini",,
"",,,,,,,,,,Esikhawini 3887 3887,,
KwaZulu‐Natal,,Magistrate Court,Estcourt,Okhahlamba,Yes,Yes,,036 352,036 352 1270,"Private Bag X7057, Estcourt 172 Albert Street, Estcourt",,E 29.87265; S ‐29.00583
"",,,,,,,,3030/3032,,3310 3310,,
Mpumalanga,Govan Mbeki [Evander],Magistrate Court,Evander,,Yes,Yes,Yes,017 632 2204,017 632 2835,"Private Bag X1006, Evander Cnr Solly Zwane St & Bologna",,‐26.46967; 29.10738
"",,,,,,,,,,"2280 Street, Evander 2280",,
Free State,,Magistrate Court,Excelsior,,Yes,Yes,,051 973 0017,051 973 0518,"Private Bag X1, Excelsior Commission Street, Excelsior",,E 27.06033; S ‐28.93859
"",,,,,,,,,,9760 9760,,
KwaZulu‐Natal,,Detached Court,Ezakheni,Emnambithi,No,Yes,,036 636 1312/3,036 636 2286,"Private Bag X20008, 797 Ingonyama Street,",,E 29.92848; S ‐28.59661
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel,Fax Postal Physical GPS [S;E]
Eastern Cape,,Branch Court,Ezibeleni,,,No,No,,,047 873 1065,"047 873 2239 Private Bag x 2004, Ntlabathi Street, Ezibeleni 5326E 26.95343; S ‐31.91099"
"",,,,,,,,,,,Ezibeleni 5326
Free State,,Magistrate Court,Fauresmith,,,Yes,Yes,,,051 723 0002,"051 723 0103 Private Bag X8, Fauresmith 52 Voortrekker Street, E 25.31177; S ‐29.74652"
"",,,,,,,,,,,9978 Fauresmith 9978
Free State,,Magistrate Court,Ficksburg,,,Yes,Yes,,,051 933 2201,"051 933 4479 Private Bag X032, Ficksburg 16 Voortrekker Street, E 27.87423; S ‐28.87131"
"",,,,,,,,,,,9730 Ficksburg 9730
Eastern Cape,,Magistrate Court,Flagstaff,,,Yes,Yes,,,039 252 0127/,"039 252 0182 Private Bag x 504, Flagstaff Main Street (R61), Flagstaff E 29.5007; S ‐31.08061"
"",,,,,,,,,,0188,4810 4810
Gauteng,Merafong [Fochville],Detached Court,Fochville,,,No,Yes,,,018 771 2017,"018 771 4188 Private Bag X1, Fochville Cnr Losberg Avenue & 9th Str, ‐26.49291; 27.49447"
"",,,,,,,,,,,2515 Fochville 2515
Western Cape,,Periodical Court,Formosa,,Plettenberg Bay,No,No,,,044 382 1141/,"044 382 2708 Private Bag X014, Knysna c/o Jackson & Main, E 23.37173; S ‐34.05771"
"",,,,,,,,,,2/3,6570 Plettenberg Bay
Eastern Cape,,Magistrate Court,Fort Beaufort,,,Yes,Yes,,,046 645 1104,"046 645 4075 Private Bag x 227, Fort‐ Market Street 4, Fort‐Beaufort E 26.63076; S ‐32.77756"
"",,,,,,,,,,,Beaufort 5720 5720
Free State,,Magistrate Court,Fouriesburg,,,Yes,Yes,,,058 223 0203 /,"058 223 0652 Private Bag X703, 40 Reitz Street, Fouriesburg E 28.20728; S ‐28.61974"
"",,,,,,,,,,303 5386,Fouriesburg 9725 9725
Free State,,Magistrate Court,Frankfort,,,Yes,Yes,,,058 813 1000,"058 813 1638 Private Bag X1, Frankfort 24 Van Reenen Street, E 28.49206; S ‐27.27686"
"",,,,,,,,,,,9830 Frankfort 9830
Western Cape,,Periodical Court,Franschoek,,,No,No,,,021 872 3127,"021 872 9116 Private Bag X5003, Paarl n/a E 19.1491; S ‐33.902"
"",,,,,,,,,,,7622
Northern Cape,Namakwa [Fraserburg],Magistrate Court,Fraserburg,,,Yes,Yes,,,023 741 1008,"023 741 1049 Private Bag X1, Fraserburg 54 Voortrekker Street, ‐31.91361; 21.5125"
"",,,,,,,,,,,6960 Fraserburg 6960
Limpopo,Letaba [Ga‐Kgapane],Magistrate Court,Ga‐Kgapane,,Bolobedu,Yes,Yes,,,015 328 3002/,"015 328 3002 Private Bag X701, Ga‐ Next to Bolobedu Police ‐23.64425; 30.22234"
"",,,,,,,,,,3768/ 3814,"Kgapane 0838 Station, Ga‐Kgapane 0838"
Northern Cape,Frances Baard [Galeshewe],Branch Court,Galeshewe Community Court,,,No,Yes Yes,,,See Kimberley,See Kimberley See Kimberley See Kimberley ‐28.7155; 24.7234
Limpopo,Blouberg [Blouberg,Periodical Cour,Ga‐Maleboho,Malebogo,Kibi,No,No,,,015 505 3151/,"015 505 3153 Private Bag X5001, Bochum SAPS Maleboho, Eldorado ‐22.98094; 28.93737"
Limpopo,Polokwane [Seshego],Periodical Court,Ga‐Matlala,Matlala,,No,No,,,015 223 5112/,"015 223 5101 Private Bag X4007, Seshego Next to Police Station ‐23.67473; 29.0319"
"",,,,,,,,,,6087/ 6335,0742
Mpumalanga,Emalahleni [Kriel],Magistrate Court,Ga‐Nala,,Kriel,Yes,Yes,,,017 648 2196/7,"017 648 3532 Private Bag X5010, Kriel c/o Llewellyn & Bronwyn ‐26.25121; 29.25995"
"",,,,,,,,,,,"2271 Street, Kriel 2271"
North West,Kagisano Molopo [Ganyesa],Magistrate Court,Ganyesa,,,Yes,Yes,,,053 998 8100,"053 998 3302 Private Bag X508, Ganyesa Next to Post Office, Main Road, ‐25.59571; 28.00104"
"",,,,,,,,,,,8613 Ganyesa 8613
North West,Madibeng [Ga‐Rankuwa],Detached Court,Ga‐Rankuwa,,Odi,Yes,Yes,,Yes,012 700 8200,"012 703 2223/3189 Private Bag X1002, Ga‐ 8835 Ntlatsang Street Zone 5, ‐26.60997; 24.17689"
"",,,,,,,,,,,Rankuwa 0208 Ga‐Rankuwa 0208
Free State,,Periodical Court,Gariepdam,Hendrik Verwoerd Dam,,No,Yes (Sessions Only),,,051 773 0002,"051 773 0028 Private Bag X1, Philippolis Jan Groeintjie Street E 25.49165; S ‐30.59144"
"",,,,,,,,,,,9970
Northern Cape,Namakwa [Garies],Periodical Court,Garies,,,No,Yes (Sessions Only),,,027 652 1013,"027 652 1123 Private Bag X221, Garies, 20 Hoof Street, Garies ‐30.5595; 17.9898"
"",,,,,,,,,,,8220
Eastern Cape,,Branch Court,Gelvandale,,,No,No,,,See Port,C/O Regional Road and Voisin E 25.54973; S ‐33.90995
"",,,,,,,,,,Elizabeth,Street
Western Cape,,Periodical Court,Genadendal,,,No,No,,,028 212 1076,"028 214 1630 Private Bag X1, Caledon n/a E 19.5394; S ‐34.0655"
"",,,,,,,,,,,7230
Western Cape,,Magistrate Court,George,,,Yes,Yes,,,044 802 5800,"044 802 5861 Private Bag X6537, George c/o 130 York & Courtney E 22.45979; S ‐33.95591"
"",,,,,,,,,,,"6530 Street, George 6530"
Gauteng,Ekurhuleni Central [Germiston],Detached Court,Germiston,,,Yes,Yes,,Yes,011 873 0500,"011 825 4606 Private Bag X1003, 78B President Street, ‐26.214949; 28.162895"
"",,,,,,,,,,,Germiston 1400 Germiston 1401
Gauteng,Ekurhuleni Central [Germiston],Detached Court,Germiston Hardach Street,,,No,No,,,011 873 0195/,"011 873 5497 Private Bag X1003, Hardach  Street, Germiston ‐26.205667; 28.159614"
"",,,,,,,,,,8685 / 8697,Germiston 1400 1401
Limpopo,Mogalakwena [Mahwelereng],Periodical Court,Gilead,,,No,No,,,015 483 0302/3,"015 483 0302 Private Bag X2493, Next to N11 ‐23.48723; 28.65612"
"",,,,,,,,,,,Tel/Fax Mokopane 0600
KwaZulu‐Natal,,Periodical Court,Gingindlovu,,,No,No,,,035 340 1415,"035 340 1253 Private Bag X505, Mtunzini  Foxon Str, Gingindlovu E 31.58156; S ‐29.02721"
"",,,,,,,,,,,3867
Limpopo,Giyani [Giyani],Magistrate Court,Giyani,,,Yes,Yes,,Yes,015 812 3276/,"015 812 0423 Private Bag X572, Giyani Stand 67 Unit BA, Main Road ‐23.31234; 30.69439"
"",,,,,,,,,,0420/ 0421,"0826 Next to Hospital, Giyani 0826"
KwaZulu‐Natal,,Magistrate Court,Glencoe,,,Yes,Yes,,,034 393,"034 393 2147 Private Bag X06, Glencoe Justice Lane, c/o Justice & E 30.15094; S ‐28.17633"
"",,,,,,,,,,1164/1190,"2930 Biggar Streets, Glencoe 2930"
KwaZulu‐Natal,,Periodical Court,Gluckstadt,,,No,No,,,034 981,"034 980 9203 Private Bag X9368, Vryheid n/a E 31.03228; S ‐27.97621"
"",,,,,,,,,,4911/4912/9809,3100
Free State,,Periodical Court,Goedemoed,,,No,No,,,051 663 0291,"051 663 0536 Private Bag X02, Rouxville A Avenue No 3 SAPS E 26.40366; S ‐30.55931"
"",,,,,,,,,,,9958
Western Cape,,Magistrate Court,Goodwood,,,Yes,Yes,,,021 591 3171/,"021 592 4064 Private Bag X4, Goodwood 273 Voortrekker Street (c/o E 18.56515; S ‐33.90897"
"",,,,,,,,,,3172 /3174,"7459 Voortrekker & Molteno),"
"",,,,,,,,,,,Goodwood 7460
Eastern Cape,,Magistrate Court,Graaff‐Reinet,,,Yes,Yes,,,049 892 2263,"049 892 2377 Private Bag x 691, Graaff‐ 26 Church Street, Graaff‐Reinet E 24.53531; S ‐32.25167"
Region,MagDistrict CourtType,,Office,PreviouslyKnownAs,AlsoKnownAs EQC,,SCC SOC,,MDS,Tel Fax,Postal,Physical GPS [S;E]
Western Cape,Detached Court,,Grabouw,,No,,Yes,,,021 859 3661/ 021 859 1675,"Private Bag X1, Grabouw","31 Main Road, Grabouw 7160 E 19.01825; S ‐34.15382"
"",,,,,,,,,,4461,7160,
Eastern Cape,Magistrate Court,,Grahamstown,,Yes,,Yes,,,046 622 7303 046 622 5543,"Private Bag x 1004,","119A High Street , E 26.52384; S ‐33.31117"
"",,,,,,,,,,,Grahamstown 6140,Grahamstown 6140
Mpumalanga,Thaba Chweu [Graskop] Branch Court,,Graskop,,No,,Yes (Sessions Only),,,013 767 1221 013 767 1221,"Private Bag X404, Graskop","19 Monument Avenue, ‐24.93434; 30.83992"
"",,,,,,,,,,Tel/Fax,1270,Graskop 1270
Limpopo,Ba‐Phalaborwa [Namakgale] Periodical Court,,Gravelotte,,No,,Yes (Sessions Only),,,015 781 2731 015 781 1819,"Private Bag X01016,","1 Hardekool Street, Gravelotte ‐23.95181; 30.61314"
"",,,,,,,,,,,Phalaborwa 1390,
Western Cape,Periodical Court,,Great Brak River,,Groot Brakrivier No,,No,,,044 693 3113/ 044 693 2891,"Private Bag X11, Mossel","113 Lang Street, Great Brak E 22.21892; S ‐34.05467"
"",,,,,,,,,,3140/ 3056,Bay 6500,River
KwaZulu‐Natal,Magistrate Court,,Greytown,,Yes,,Yes,,,033 413 1122/3 033 413 1122,"Private Bag X5561,","55 Bell (c/o Bell & Pine) Street, E 30.59354; S ‐29.05946"
"",,,,,,,,,,,Greytown 3250,Greytown 3250
Northern Cape,Pixley Ka Seme [Griekwastad] Magistrate Court,,Griekwastad,,Griquatown Yes,,Yes,,,053 343 0007 053 343 0531,"Private Bag X213 ,","19 Hoof Street, Griquatown, ‐28.84843; 23.25136"
"",,,,,,,,,,,"Griquatown, 8365",8365
Limpopo,Elias Motsoaledi [Groblersdal] Magistrate Court,,Groblersdal,,Yes,,Yes Yes,,Yes,013 262 2033/ 013 262 3000,"Private Bag X617,",13 Taute Street (cnr Taute & ‐25.16838; 29.39426
"",,,,,,,,,,34,Groblersdal 0470,"Van Riebeeck Str), Groblersdal"
"",,,,,,,,,,,,0470
Northern Cape,ZF Mgcawu [Groblershoop] Detached Court,,Groblershoop,,Yes,,Yes,,,054 833 054 833 0431,"Private Bag X1,","1 Main Road, Groblershoop,"
"",,,,,,,,,,,,‐28.89337; 21.98279
"",,,,,,,,,,0140/0430,"Groblershoop, 8850",8850
North West,Ramotshere Moiloa [Zeerust] Detached Court,,Groot Marico,,No,,Yes,,,014 503 0016 014 503 0094,"Private Bag X303, Groot","86 Voortrekker Street, Next to ‐25.59915; 26.41841"
"",,,,,,,,,,,Marico 2850,Groot Marico SAPS
Western Cape,Branch Court,,Guguletu Community Court,,Fezeka No,,No,,,021 799 1800 021 762 7842,"Private Bag X3, Wynberg",n/a E 18.5951; S ‐33.9929
"",,,,,,,,,,,7824,
Limpopo,Tzaneen [Tzaneen] Periodical Court,,Haenertsburg,,No,,No,,,015 294 6000 015 294 6074,"Private Bag X9320,","Rush Street, Haenertsburg ‐23.94078; 29.94045"
"",,,,,,,,,,,Polokwane 0700,
Limpopo,Thulamela [Thohoyandou] Periodical Court,,HaMakuya,,No,,No,,,015 962 5550 015 962 5566,"Private Bag X5005,","SAPS Makuya, Mthiphu ‐22.65219; 30.8274"
"",,,,,,,,,,,Thohoyandou 0950,"Street, on the R523,"
Eastern Cape,Magistrate Court,,Hankey,,Yes,,Yes,,,042 284 0303 042 284 0093,"Private Bag x 1, Hankey","Phillip Street, Hankey 6350 E 24.8843; S ‐33.83365"
"",,,,,,,,,,,6350,
Northern Cape,Pixley Ka Seme [Hanover] Magistrate Court,,Hanover,,Yes,,Yes,,,053 643 0001 053 643 0605,"Private Bag X1, Hanover,","1 Church Street, Hanover, 7005"
"",,,,,,,,,,,7005,‐31.06662; 24.44278
KwaZulu‐Natal,Magistrate Court,,Harding,,Yes,,Yes,,,039 433 1009 039 433 1900,"Private Bag X1003, Harding Main Road, Harding 4680",E 29.88255; S ‐30.57632
"",,,,,,,,,,,4680,
Free State,Magistrate Court,,Harrismith,,Yes,,Yes,,,058 623 0627 058 623 0669,"Private Bag X869,","39 Southey Street, Harrismith E 29.12825; S ‐28.26868"
"",,,,,,,,,,,Harrismith 9880,9880
North West,Madibeng [Ga‐Rankuwa] Periodical Court,,Hartbeestpoort Dam,,No,,No,,,012 252 3223 012 252 3223,"Private Bag X5002, Brits","Cnr Van Velden & Court Street, ‐25.634779; 27.779294"
"",,,,,,,,,,,0250,Brits 0250
North West,Matlosana  [Klerksdorp] Periodical Court,,Harteeesfontein,Lethabong,Tiagne/Hartbeesfontein No,,No,,,018 464 9200 018 462 4275,"Private Bag A8, Klerksdorp",c/o Du Toit Street and ‐26.75795; 26.42585
"",,,,,,,,,,018 464 9211,2570,"Voortrekker Street,"
"",,,,,,,,,,,,Hartebeesfontein
Northern Cape,Frances Baard [Haartswater] Magistrate Court,,Hartswater,,Yes,,Yes,,,053 474 0922 053 474 0941,"Private Bag X1, Hartswater",c/o Jan Viljoen & Strydom ‐27.75307; 24.80513
"",,,,,,,,,,,8570,"Street, Hartswater 8570"
Gauteng,Tshwane Central [Pretoria] Branch Court,,Hatfield,,No,,No,,,012 342 0059/ 012 342 9961,"Private Bag X61, Pretoria","Cnr Burnette & Park Street, ‐25.75026; 28.22885"
"",,,,,,,,,,012 319 4136,0001,Hatfield 0083
Mpumalanga,Mbombela [White River] Branch Court,,Hazyview,,Kiepersol No,,No,,,013 751 1147/8 013 750 0426,"Private Bag X801, White","Near SAPS, Stand 16, Chief ‐25.046119; 31.128727"
"",,,,,,,,,,,River 1240,"Mgiyeni Khumalo Drive, White"
Gauteng,Lesedi [Heidelberg] Magistrate Court,,Heidelberg [GP],,Yes,,Yes,,Yes,016 349 1930‐3/ 016 349 6386,"Private Bag H609,",62 Begeman & Ueckerman ‐26.49941; 28.35462
"",,,,,,,,,,6655,Heidelberg 1438,"Street, Heidelberg 1438"
Western Cape,Magistrate Court,,Heidelberg [WC],,Yes,,Yes,,,028 722 028 722 2374,"Private Bag X13, Heidelberg 52 Van Riebeeck Street,",E 20.95606; S ‐34.08918
"",,,,,,,,,,1927/2874,6665,Heidelberg 6665
Free State,Magistrate Court,,Heilbron,,Yes,,Yes,,,058 852 2004 058 852 1504,"Private Bag X1, Heilbron","32 Els Street, Heilbron 9650 E 27.96705; S ‐27.28347"
"",,,,,,,,,,,9650,
Mpumalanga,Steve Tshwete [Hendrina] Branch Court,,Hendrina,,No,,Yes (Sessions Only),,,013 293 0054 013 293 0521,"Private Bag X001,  Hendrina 35 Church Street, Hendrina",‐26.16026; 29.71638
"",,,,,,,,,,,1095,1095
Free State,Magistrate Court,,Hennenman,,Yes,,Yes,,,057 573 1137 057 573 2447,"Private Bag X5, Hennenman 3 Botha Street, Hennenman",E 27.02596; S ‐27.97909
"",,,,,,,,,,,9445,9445
Western Cape,Magistrate Court,,Hermanus,,Yes,,Yes,,,028 312 3713 028 313 1034,"Private Bag X01, Hermanus 63 Main Road, Hermanus 7200 E 19.23684; S ‐34.41911",
"",,,,,,,,,,,7200,
Free State,Periodical Court,,Hertzogville,,No,,Yes (Sessions Only),,,053 421 9016 053 421 9016,"Private Bag X1, Hertzogville 10 Strauss Street, Hertzogville E 25.50411; S ‐28.12734",
"",,,,,,,,,,,9482,9482
Northern Cape,John Taolo Gaetsewe [Kudumane] Periodical Court,,Heunigvlei,,No,,No,,,"053 773 1868/ 053 773 1502/1156 Private Bag X102,",,n/a ‐26.29345; 23.17933
