Region,Court Type,Office Name,Equality Court,Small Claims Court,Sexual Offence Court,Mediation Services,telephone,fax,adress,GPS
Easern Cape,Magisrae Cour,For Beaufor,Yes,Yes,No,No,046 645 1104,046 645 4075,Marke Sree 4 For-Beaufor 5720,E 26.63076; S -32.77756
Free Sae,Magisrae Cour,Fouriesburg,Yes,Yes,No,No,058 223 0203 / 303 5386,058 223 0652,40 Reiz Sree Fouriesburg 9725,E 28.20728; S -28.61974
Free Sae,Magisrae Cour,Frankfor,Yes,Yes,No,No,058 813 1000,058 813 1638,24 Van Reenen Sree Frankfor 9830,E 28.49206; S -27.27686
Wesern Cape,Periodical Cour,Franschoek,No,No,No,No,021 872 3127,021 872 9116,n/a,E 19.1491; S -33.902
Norhern Cape,Magisrae Cour,Fraserburg,Yes,Yes,No,No,023 741 1008,023 741 1049,54 Voorrekker Sree Fraserburg 6960,-31.91361; 21.5125
Limpopo,Magisrae Cour,Ga-Kgapane,Yes,Yes,No,No,015 328 3002/ 3768/ 3814,015 328 3002,Nex o Bolobedu Police Saion Ga-Kgapane 0838,-23.64425; 30.22234
Limpopo,Periodical Cour,Ga-Maleboho,No,No,No,No,015 505 3151/ 52,015 505 3153,SAPS Maleboho Eldorado village RADITSHABA 0718,-22.98094; 28.93737
Limpopo,Periodical Cour,Ga-Malala,No,No,No,No,015 223 5112/ 6087/ 6335,015 223 5101,Nex o Police Saion,-23.67473; 29.0319
Mpumalanga,Magisrae Cour,Ga-Nala,Yes,Yes,No,No,017 648 2196/7,017 648 3532,c/o Llewellyn & Bronwyn Sree Kriel 2271,-26.25121; 29.25995
Norh Wes,Deached Cour,Ga-Rankuwa,Yes,Yes,No,Yes,012 700 8200,012 703 2223/3189,8835 Nlasang Sree Zone 5 Ga-Rankuwa 0208,-26.60997; 24.17689
Norhern Cape,Branch Cour,Galeshewe Communiy Cour,No,Yes,Yes,No,See Kimberley,See Kimberley,See Kimberley,-28.7155; 24.7234
Norh Wes,Magisrae Cour,Ganyesa,Yes,Yes,No,No,053 998 8100,053 998 3302,Nex o Pos Office Main Road Ganyesa 8613,-25.59571; 28.00104
Free Sae,Periodical Cour,Gariepdam,No,Yes (Sessions Only),No,No,051 773 0002,051 773 0028,Jan Groeinjie Sree,E 25.49165; S -30.59144
Norhern Cape,Periodical Cour,Garies,No,Yes (Sessions Only),No,No,027 652 1013,027 652 1123,20 Hoof Sree Garies,-30.5595; 17.9898
Easern Cape,Branch Cour,Gelvandale,No,No,No,No,See Por Elizabeh,No,C/O Regional Road and Voisin Sree,E 25.54973; S -33.90995
Wesern Cape,Periodical Cour,Genadendal,No,No,No,No,028 212 1076,028 214 1630,n/a,E 19.5394; S -34.0655
Wesern Cape,Magisrae Cour,George,Yes,Yes,No,No,044 802 5800,044 802 5861,c/o 130 York & Courney Sree George 6530,E 22.45979; S -33.95591
Gaueng,Deached Cour,Germison,Yes,Yes,No,Yes,011 873 0500,011 825 4606,78B Presiden Sree Germison 1401,-26.214949; 28.162895
Gaueng,Deached Cour,Germison Hardach Sree,No,No,No,No,011 873 0195/ 8685 / 8697,011 873 5497,Hardach  Sree Germison 1401,-26.205667; 28.159614
Limpopo,Periodical Cour,Gilead,No,No,No,No,015 483 0302/3,015 483 0302 Tel/Fax,Nex o N11,-23.48723; 28.65612
KwaZulu-Naal,Periodical Cour,Gingindlovu,No,No,No,No,035 340 1415,035 340 1253,Foxon Sr Gingindlovu,E 31.58156; S -29.02721
Limpopo,Magisrae Cour,Giyani,Yes,Yes,No,Yes,015 812 3276/ 0420/ 0421,015 812 0423,Sand 67 Uni BA Main Road Nex o Hospial Giyani 0826,-23.31234; 30.69439
KwaZulu-Naal,Magisrae Cour,Glencoe,Yes,Yes,No,No,034 393 1164/1190,034 393 2147,Jusice Lane c/o Jusice & Biggar Srees Glencoe 2930,E 30.15094; S -28.17633
KwaZulu-Naal,Periodical Cour,Glucksad,No,No,No,No,034 981 4911/4912/9809,034 980 9203,n/a,E 31.03228; S -27.97621
Free Sae,Periodical Cour,Goedemoed,No,No,No,No,051 663 0291,051 663 0536,A Avenue No 3 SAPS,E 26.40366; S -30.55931
Wesern Cape,Magisrae Cour,Goodwood,Yes,Yes,No,No,021 591 3171/ 3172 /3174,021 592 4064,273 Voorrekker Sree (c/o Voorrekker & Moleno) Goodwood 7460,E 18.56515; S -33.90897
Easern Cape,Magisrae Cour,Graaff-Reine,Yes,Yes,No,No,049 892 2263,049 892 2377,26 Church Sree Graaff-Reine 6280,E 24.53531; S -32.25167
Wesern Cape,Deached Cour,Grabouw,No,Yes,No,No,021 859 3661/ 4461,021 859 1675,31 Main Road Grabouw 7160,E 19.01825; S -34.15382
Easern Cape,Magisrae Cour,Grahamsown,Yes,Yes,No,No,046 622 7303,046 622 5543,119A High Sree  Grahamsown 6140,E 26.52384; S -33.31117
Mpumalanga,Branch Cour,Graskop,No,Yes (Sessions Only),No,No,013 767 1221,013 767 1221 Tel/Fax,19 Monumen Avenue Graskop 1270,-24.93434; 30.83992
Limpopo,Periodical Cour,Graveloe,No,Yes (Sessions Only),No,No,015 781 2731,015 781 1819,1 Hardekool Sree Graveloe,-23.95181; 30.61314
Wesern Cape,Periodical Cour,Grea Brak River,No,No,No,No,044 693 3113/ 3140/ 3056,044 693 2891,113 Lang Sree Grea Brak River,E 22.21892; S -34.05467
KwaZulu-Naal,Magisrae Cour,Greyown,Yes,Yes,No,No,033 413 1122/3,033 413 1122,55 Bell (c/o Bell & Pine) Sree Greyown 3250,E 30.59354; S -29.05946
Norhern Cape,Magisrae Cour,Griekwasad,Yes,Yes,No,No,053 343 0007,053 343 0531,19 Hoof Sree Griquaown 8365,-28.84843; 23.25136
Limpopo,Magisrae Cour,Groblersdal,Yes,Yes,Yes,Yes,013 262 2033/ 34,013 262 3000,13 Taue Sree (cnr Taue & Van Riebeeck Sr) Groblersdal 0470,-25.16838; 29.39426
Norhern Cape,Deached Cour,Groblershoop,Yes,Yes,No,No,054 833 0140/0430,054 833 0431,1 Main Road Groblershoop 8850,-28.89337; 21.98279
Norh Wes,Deached Cour,Groo Marico,No,Yes,No,No,014 503 0016,014 503 0094,86 Voorrekker Sree Nex o Groo Marico SAPS,-25.59915; 26.41841
Wesern Cape,Branch Cour,Guguleu Communiy Cour,No,No,No,No,021 799 1800,021 762 7842,n/a,E 18.5951; S -33.9929
Limpopo,Periodical Cour,Haenersburg,No,No,No,No,015 294 6000,015 294 6074,Rush Sree Haenersburg,-23.94078; 29.94045
Limpopo,Periodical Cour,HaMakuya,No,No,No,No,015 962 5550,015 962 5566,SAPS Makuya Mhiphu Sree on he R523 HaMakuya,-22.65219; 30.8274
Easern Cape,Magisrae Cour,Hankey,Yes,Yes,No,No,042 284 0303,042 284 0093,Phillip Sree Hankey 6350,E 24.8843; S -33.83365
Norhern Cape,Magisrae Cour,Hanover,Yes,Yes,No,No,053 643 0001,053 643 0605,1 Church Sree Hanover 7005,-31.06662; 24.44278
KwaZulu-Naal,Magisrae Cour,Harding,Yes,Yes,No,No,039 433 1009,039 433 1900,Main Road Harding 4680,E 29.88255; S -30.57632
Free Sae,Magisrae Cour,Harrismih,Yes,Yes,No,No,058 623 0627,058 623 0669,39 Souhey Sree Harrismih 9880,E 29.12825; S -28.26868
Norh Wes,Periodical Cour,Harbeespoor Dam,No,No,No,No,012 252 3223,012 252 3223,Cnr Van Velden & Cour Sree Bris 0250,-25.634779; 27.779294
Norh Wes,Periodical Cour,Hareeesfonein,No,No,No,No,018 464 9200 018 464 9211,018 462 4275,c/o Du Toi Sree and Voorrekker Sree Harebeesfonein,-26.75795; 26.42585
Norhern Cape,Magisrae Cour,Harswaer,Yes,Yes,No,No,053 474 0922,053 474 0941,c/o Jan Viljoen & Srydom Sree Harswaer 8570,-27.75307; 24.80513
Gaueng,Branch Cour,Hafield,No,No,No,No,012 342 0059/ 012 319 4136 (PTA),012 342 9961,Cnr Burnee & Park Sree Hafield 0083,-25.75026; 28.22885
Mpumalanga,Branch Cour,Hazyview,No,No,No,No,013 751 1147/8,013 750 0426,Near SAPS Sand 16 Chief Mgiyeni Khumalo Drivexa0Whie River 1240,-25.046119; 31.128727
Gaueng,Magisrae Cour,Heidelberg [GP,Yes,Yes,No,Yes,016 349 1930-3/ 6655,016 349 6386,62 Begeman & Ueckerman Sree Heidelberg 1438,-26.49941; 28.35462
Wesern Cape,Magisrae Cour,Heidelberg [WC,Yes,Yes,No,No,028 722 1927/2874,028 722 2374,52 Van Riebeeck Sree Heidelberg 6665,E 20.95606; S -34.08918
Free Sae,Magisrae Cour,Heilbron,Yes,Yes,No,No,058 852 2004,058 852 1504,32 Els Sree Heilbron 9650,E 27.96705; S -27.28347
Mpumalanga,Branch Cour,Hendrina,No,Yes (Sessions Only),No,No,013 293 0054,013 293 0521,35 Church Sree Hendrina 1095,-26.16026; 29.71638
Free Sae,Magisrae Cour,Hennenman,Yes,Yes,No,No,057 573 1137,057 573 2447,3 Boha Sree Hennenman 9445,E 27.02596; S -27.97909
Wesern Cape,Magisrae Cour,Hermanus,Yes,Yes,No,No,028 312 3713,028 313 1034,63 Main Road Hermanus 7200,E 19.23684; S -34.41911
Free Sae,Periodical Cour,Herzogville,No,Yes (Sessions Only),No,No,053 421 9016,053 421 9016,10 Srauss Sree Herzogville 9482,E 25.50411; S -28.12734
Norhern Cape,Periodical Cour,Heunigvlei,No,No,No,No,053 773 1868/ 1869/ 1307/ 1550,053 773 1502/1156,n/a,-26.29345; 23.17933
KwaZulu-Naal,Periodical Cour,Hibberdene,No,No,No,No,039 978 9400,039 978 3258,11 Minerva Cresen Hibberdene,E 30.57074; S -30.57749
KwaZulu-Naal,Periodical Cour,Highflas,No,No,No,No,See Ixopo,See Ixopo,Main Road Highflas,E 30.19244; S -30.25927
Gaueng,Branch Cour,Hillbrow,No,No,No,No,011 642 4441/2,011 642 2025 /0865071283,c/o 32 Sam Hancock & Queen Sree Hillbrow 2038,-26.18722; 28.04465
KwaZulu-Naal,Magisrae Cour,Himeville,Yes,Yes,No,No,033 702 1303,033 702 1430,5 George Sree Himeville 3256,E 29.51316; S -29.74987
KwaZulu-Naal,Branch Cour,Hlabisa,No,No,No,No,035 838 1022/3/4,035 838 1179/1027,Lo 318 Saunders Sree Hlabisa 3937,E 31.87623; S -28.14621
KwaZulu-Naal,Magisrae Cour,Hlanganani [KZN,Yes,Yes,No,No,039 832 0032,039 832 9461,Bulamain Road Polela Cenre Hlanganani Esablishmen Hlanganani 3244,E 29.85464; S -29.76427
KwaZulu-Naal,Periodical Cour,Hlobane,No,No,No,No,034 981 4911/4912/9809,034 980 9203,n/a,E 31.00982; S -27.73714
KwaZulu-Naal,Periodical Cour,Hluhluwe,No,No,No,No,035 550 0065,035 550 1526,Old Main Road Hluhluwe,E 32.26811; S -28.01969
Free Sae,Periodical Cour,Hobhouse,No,Yes (Sessions Only),No,No,051 983 0110,051 983 0031,27 Muller Sree Hobhouse 9740,E 27.14363; S -29.52988
Limpopo,Branch Cour,Hoedsprui,No,Yes (Sessions Only),No,No,015 781 2731,015 781 1819,c/o Moose and Ohrigsad Sree (R527) Hoedsprui,-24.35398; 30.951
Easern Cape,Magisrae Cour,Hofmeyr,Yes,Yes,No,No,048 885 0007,048 885 0288 Tel/Fax,Voorrekker Sree Hofmeyr 5930,E 25.8038; S -31.65331
Free Sae,Magisrae Cour,Hoopsad,Yes,Yes,No,No,053 444 1882,053 444 1743,12 Van Zyl Sree Hoopsad 9479,E 25.90564; S -27.83609
Wesern Cape,Magisrae Cour,Hopefield,Yes,Yes,No,No,022 723 0506,022 723 1522/0866445110,24 Voorrekker Road Hopefield 7355,E 18.35107; S -33.06274
Norhern Cape,Magisrae Cour,Hopeown,Yes,Yes,No,No,053 203 0000,053 203 0453,1 Cahcar Sree Hopeown 8750,-29.62108; 24.08467
KwaZulu-Naal,Magisrae Cour,Howick,Yes,Yes,No,No,033 330 2117/ 083 658 4359,033 330 7155,Morling Sree Howick 3290,E 30.23121; S -29.48788
Easern Cape,Magisrae Cour,Humansdorp,Yes,Yes,No,No,042 291 0259,042 291 0732,Du Plessis Sree Humansdorp 6300,E 24.77218; S -34.02845
Norh Wes,Branch Cour,Ikageng,No,No,No,No,See Pochefsroom,See Pochefsroom,SAPS Ikageng Cnr Lekhele & Mogosi Sree Pochefsroom,-26.719846; 27.062409
KwaZulu-Naal,Magisrae Cour,Impendle,Yes,Yes,No,No,033 996 0604/0015,033 996 0462,23 Mafahlane Road Impendle 3227,E 29.86722; S -29.5986
Easern Cape,Magisrae Cour,Indwe,Yes,Yes,No,No,045 952 1014,045 952 1132,23 Voorrekker Sree Indwe 5445,E 27.33987; S -31.46951
KwaZulu-Naal,Magisrae Cour,Ingwavuma,Yes,Yes,No,No,035 591 0105/6,035 591 0071,Main Road Ingwavuma 3968,E 31.99678; S -27.13309
KwaZulu-Naal,Branch Cour,Inkanyezi,No,No,No,No,035 474 2171/2,035 474 4745,King Dinuzulu Township Iknayezi Sree Eshowe 3815,E 31.49991; S -28.8899
Easern Cape,Periodical Cour,Insikeni,No,No,No,No,See Bizana,No,n/a,E 29.55799; S -30.13761
KwaZulu-Naal,Periodical Cour,Inyono,No,No,No,No,035 340 1415,035 340 1253,n/a,E 31.46347; S -29.0798
Norh Wes,Deached Cour,Isoseng,Yes,Yes,No,No,018 338 0100,018 338 2308,2338 Ramaboa Sree Zone 3 Isoseng 2744,-26.50452; 25.37035
KwaZulu-Naal,Magisrae Cour,Ixopo,Yes,Yes,No,No,039 834 2017/8; 834 2173/4/5,039 834 1960,52 Margare Sree Ixopo 3276,E 30.05953; S -30.15172
KwaZulu-Naal,Branch Cour,Izingolweni,No,No,No,No,039 534 1100,039 534 1168,Main Road Izingolweni 4260,E 30.12892; S -30.78542
Free Sae,Magisrae Cour,Jacobsdal,Yes,Yes,No,No,053 591 0034,053 591 0554 / 0866447672,6 Andries Preorius Sree Jacobsdal 8710,E 24.77447; S -29.13057
Free Sae,Magisrae Cour,Jagersfonein,Yes,Yes,No,No,051 724 0002,051 723 0103,12 Klooser Conven Sree Jagersfonein 9974,E 25.42807; S -29.75943
Easern Cape,Periodical Cour,Jamesown,No,Yes (Sessions Only),No,No,051 641 0712,051 641 0931,Aliwal Road  Jamesown 9742,E 26.81013; S -31.1203
Norhern Cape,Deached Cour,Jan Kempdorp,Yes,Yes,No,No,053 456 0361,053 456 0051,2 Pie Reief Sree Jan Kempdorp 8550,-27.9164; 24.83714
Easern Cape,Magisrae Cour,Jansenville,Yes,Yes,No,No,049 836 0012,049 836 0260,46 Main Sree Jansenville 6265,E 24.66629; S -32.9459
Gaueng,Branch Cour,Jeppe,No,No,No,No,011 618 4516,011 614 5622,225 Marke Sree Jeppesown 2043,-26.20242; 28.06043
Norh Wes,Periodical Cour,Jericho,No,No,No,No,012 700 8255,012 703 2223/3189,1874 Vuka Secion Jericho,-25.34307; 27.81429
Gaueng,Magisrae Cour,Johannesburg,Yes,Yes,Yes,Yes,011 491 5000 / 011 639 0301 Family Cour,011 834 1222 /011 836 0671 Family Cour,26 Fox Sree (Cnr Fox & Wes Sree) Johannesburg 2000,-26.20798; 28.03468
Easern Cape,Magisrae Cour,Jouberina,Yes,Yes,No,No,042 273 1306,042 273 1128,8 Van Riebeeck Sree Jouberina 5235,E 23.85433; S -33.82494
Mpumalanga,Magisrae Cour,Kabokweni,Yes,Yes,No,No,013 796 0261,013 796 0881/ 0865077652,Sand 1212 Kabokweni 1245,-25.347; 31.12391
Gaueng,Deached Cour,Kagiso,Yes,Yes,No,Yes,011 410 1485,011 410 0552,23 Kagiso Avenue Krugersdorp 1739,-26.15126; 27.78797
Norhern Cape,Deached Cour,Kakamas,Yes,Yes,No,No,054 431 0705,054 431 1306,26 Voorrekker Sree Kakamas 8870,-28.77405; 20.62247
Mpumalanga,Branch Cour,Kanyamazane,No,No,No,No,013 796 0261,013 796 0881/ 0865077652,Cnr Cobra & Wasp Sree Kanyamazane,-25.46513; 31.18456
Easern Cape,Periodical Cour,Kareedouw,No,Yes (Sessions Only),No,No,See Humansdorp,No,13 Eendrach Sree,E 24.29437; S -33.95385
Norhern Cape,Deached Cour,Kahu,Yes,Yes,Yes,No,053 723 3221,053 723 3223,Hendrik van Eck Road Kahu 8446,-27.69962; 23.04522
Easern Cape,Periodical Cour,Kei Mouh,No,No,No,No,See Komga,No,Main Sree (R349),E 28.37484; S -32.67945
Norhern Cape,Deached Cour,Keimoes,Yes,Yes,No,No,054 461 1221,054 461 1582,42 Main Sree Keimoes 8860,-28.70675; 20.96795
Easern Cape,Magisrae Cour,Keiskammahoek,Yes,Yes,No,No,040 658 0204,040 658 0395,Cemeery Avenue  Keiskammahoek 5670,E 27.14602; S -32.67995
Gaueng,Magisrae Cour,Kempon Park,Yes,Yes,No,Yes,011 395 6300,011 394 2507,17 Monumen Road Kempon Park 1620,-26.10212; 28.2326
Norhern Cape,Magisrae Cour,Kenhard,Yes,Yes,No,No,054 651 0024,054 651 0232,Brussel Sree Kenhard 8900,-29.34709; 21.15304
Easern Cape,Periodical Cour,Kenon on Sea,No,No,No,No,See Por Alfred,No,Oele Sree,E 26.66734; S -33.68039
Free Sae,Periodical Cour,Kesell,No,No,No,No,058 653 1116,058 653 1680,53 Van Rensburg Sree Kesell 9860,E 28.70317; S -28.31196
Gaueng,Branch Cour,Kgosi Mampuru,No,No,No,No,012 319 4000,012 328 6546,Cnr Kgosi Mampuru & Klawer Sree Preoria 001,-25.76048; 28.1814
Wesern Cape,Deached Cour,Khayelisha,Yes,Yes,No,No,021 360 1400,021 360 1412,c/o Seve Biko & Waler Sisulu Sree Khayelisha 7784,E 18.67645; S -34.04751
Gaueng,Branch Cour,Khusong,No,No,No,No,018 783 2609,018 783 2938 Police Saion,01 Sompane Sree Nex o Khusong Police Saion,-26.34324; 27.33109
Norhern Cape,Magisrae Cour,Kimberley,Yes,Yes,Yes,No,053 807 0600 / 073-1133360,053 833 2576/ 832 7404,c/o Knigh & Sead Sree Kimberley 8300,-28.73665; 24.76609
Easern Cape,Magisrae Cour,King William’s Town,Yes,Yes,No,No,043 642 3548,043 642 1015,117 Alexandra Road King Williams own 5600,E 27.38756; S -32.87222
Easern Cape,Periodical Cour,Kinkelbos,No,No,No,No,See Alexandria,No,R72 (N2 from Grahamsown o PE),E 25.87832; S -33.64668
Easern Cape,Magisrae Cour,Kirkwood,Yes,Yes,No,No,042 230 0313,042 230 0576,Middle Sree Kirkwood 6120,E 25.44367; S -33.39882
Wesern Cape,Periodical Cour,Klawer,No,No,No,No,027 219 1002,027 219 1563,25 Niewoud Sree Klawer,E 18.62488; S -31.77277
Norh Wes,Magisrae Cour,Klerksdorp,Yes,Yes,Yes,Yes,018 464 9200 018 464 9211,018 462 4275,27 OR Tambo Sree Klerksdorp 2570,-26.86611; 26.66495
Norh Wes,Periodical Cour,Klerkskraal,No,No,No,No,018 264 2036/7,018 264 2404,N14 Krugersdorp and Venersdorp Klerkskraal,-26.25171; 27.1634
Easern Cape,Periodical Cour,Klipplaa,No,Yes (Sessions Only),No,No,See Jansenville,No,Nex o SAPS R338,E 24.33273; S -33.02154
Gaueng,Branch Cour,Klipown,No,Yes (Sessions Only),No,Yes,011 945 1164,011 945 6381,49 Beacon Road Klipown 1812,-26.28322; 27.8874
Wesern Cape,Magisrae Cour,Knysna,Yes,Yes,No,No,044 382 1141/ 2/3,044 382 2708,11 Main Sree Knysna 6570,E 23.0523; S -34.03638
Free Sae,Magisrae Cour,Koffiefonein,Yes,Yes,Yes,No,053 205 0002,053 205 0042,6 Hampden Sree Koffiefonein 9986,E 25.00256; S -29.40947
KwaZulu-Naal,Magisrae Cour,Koksad,Yes,Yes,No,No,039 727 2010/ 2011,039 727 1642,5 Barker Sree Koksad 4700,E 29.4257; S -30.55084
Mpumalanga,Periodical Cour,Komai,No,No,No,No,013 283 7500,013 282 5377,SAPS Blinkpan,-26.09934; 29.45108
Mpumalanga,Periodical Cour,Komaipoor,No,No,No,No,013 712 2104/ 3284/ 3267,013 712 5122,09 Louw Sree near SAPS Komaipoor,-25.43561; 31.95529
Easern Cape,Magisrae Cour,Komga,Yes,Yes,No,No,043 831 1019,043 831 1281,1 Governmen Avenue Komga 4950,E 27.89227; S -32.57581
Free Sae,Magisrae Cour,Koppies,Yes,Yes,No,No,056 777 1814,056 777 2578,Church Sree Koppies 9540,E 27.57517; S -27.24207
Norh Wes,Magisrae Cour,Koser,Yes,Yes,No,No,014 543 2024/2357,014 543 4880,46 Malan Sree Koser 0348,-25.86492; 26.89701
KwaZulu-Naal,Magisrae Cour,Kranskop,Yes,Yes,No,No,033 444 1603,033 444 1330,1 Main Sree Kranskop 3268,E 30.86267; S -28.96662
Free Sae,Magisrae Cour,Kroonsad,Yes,Yes,No,No,056 212 4161,056 212 6706,Cnr Mark & Murray Sree Kroonsad 9500,E 27.2333; S -27.66915
Gaueng,Magisrae Cour,Krugersdorp,Yes,Yes,No,Yes,011 660 3711/3,011 665 5013,cnr  Commissioner and Biccard Srees Krugersdorp 1739,-26.0992; 27.7673
Norhern Cape,Magisrae Cour,Kudumane,Yes,Yes,No,No,053 773 1868/ 1869/ 1307/ 1550,053 773 1502/1156,1269 Mohibi Road Kudumane 8474,-27.455252; 23.433864
Wesern Cape,Magisrae Cour,Kuilsriver,Yes,Yes,No,No,021 903 7902,n/a,122 Van Riebeeck Avenue Kuils River 7580,E 18.68291; S -33.93266
Norhern Cape,Magisrae Cour,Kuruman,Yes,Yes,No,No,053 712 1081,053 712 2021,Ben Malan Sree Kuruman 8460,-27.45474; 23.43381
Gaueng,Branch Cour,Kwa Thema,No,No,No,No,011 736 4406,011 811 2296,Gobede Sree Kwa Thema 1575,-26.27947; 28.3952
Easern Cape,Branch Cour,Kwa-Nobuhle,No,No,No,No,See Uienhage,No,Pononoini Sree,E 25.39547; S -33.80844
Easern Cape,Periodical Cour,Kwaaiman,No,No,No,No,See Mqanduli,No,n/a,E 28.9781; S -31.91916
KwaZulu-Naal,Magisrae Cour,KwaDukuza,Yes,Yes,No,No,032 551 1201,032 552 1656,127 King Shaka Sree KwaDukuzaxa0 4450,E 31.29045; S -29.338
Mpumalanga,Magisrae Cour,Kwaggafonein,Yes,Yes,No,No,013 986 0131/2,013 986 0598,106C Kwaggafonein Empumalanga 0458,-25.31087; 28.94654
KwaZulu-Naal,Branch Cour,KwaMashu,No,No,No,No,See Nuzuma BC,See Nuzuma BC,1137 Nombela Road KwaMashu,E 31.00065; S -29.73654
Mpumalanga,Magisrae Cour,KwaMhlanga,Yes,Yes,No,Yes,013 947 2363/4,013 947 3490,Nr 37 Secion BA Kwamhlanga 1022,-25.43336; 28.71456
KwaZulu-Naal,Branch Cour,KwaMsane,No,No,No,No,035 551 1060/1832/1833,035 551 1467,Mfundo Sree KwamSane Mubauba 3935,E 32.13836; S -28.43328
KwaZulu-Naal,Periodical Cour,Kwambonambi,No,No,No,No,035 772 1711/2/3,035 792 2527,Main Sree Kwanbonambi,E 32.08577; S -28.59909
KwaZulu-Naal,Periodical Cour,Kwangwanase,No,Yes (Sessions Only),No,No,035 592 0119,035 592 0493,Main Road Kwangwanase 3973,E 32.74402; S -26.99695
Wesern Cape,Branch Cour,Laaiplek,No,No,No,No,022 783 0090,022 783 0829,c/o Jameson & Van Zyl Sree Laaiplek 7365,E 18.15675; S -32.77114
Wesern Cape,Magisrae Cour,Ladismih,Yes,Yes,No,No,028 551 1009/ 1019,028 551 1168,57 Queen Sree Ladismih 6655,E 21.26777; S -33.49465
Easern Cape,Magisrae Cour,Lady Frere,Yes,Yes,No,No,047 878 0011,047 878 0017,40 Indwe Road Lady Frere 5410,E 27.23713; S -31.70163
Easern Cape,Magisrae Cour,Lady Grey,Yes,Yes,No,No,051 603 0024,051 603 3019,19 Marin Sree Lady Grey 9755,E 27.21533; S -30.71058
Free Sae,Magisrae Cour,Ladybrand,Yes,Yes,No,No,051 924 3210,051 924 2474,21 Church Sree Ladybrand 9745,E 27.45637; S -29.19637
KwaZulu-Naal,Magisrae Cour,Ladysmih,Yes,Yes,No,No,036 637 6771,036 631 0498,16 Keae Sree Ladysmih 3370,E 29.77884; S -28.55928
Mpumalanga,Periodical Cour,Laersdrif,No,No,No,No,013 283 7500,013 282 5377,SAPS Laersdrif,-25.36766; 29.85622
Wesern Cape,Magisrae Cour,Laingsburg,Yes,Yes,No,No,023 551 1010/ 1481,023 551 1296,54 Saion Sree Laingsburg 6900,E 20.85924; S -33.19728
Wesern Cape,Periodical Cour,Lambers Bay,No,No,No,No,027 482 2114/5,027 482 2412,Voorrekker Sree Lambers Bay,E 18.30544; S -32.09259
Wesern Cape,Periodical Cour,Langebaan,No,No,No,No,022 723 0506,022 723 1522/0866445110,7 Anonio Seni Sree Langebaan,E 18.03574; S -33.08286
Limpopo,Periodical Cour,Leboeng,No,No,No,No,013 216 1091,013 216 1730,Mbeki SreeLeboeng Village,-24.50923; 30.64792
Limpopo,Magisrae Cour,Lebowakgomo,Yes,Yes,No,Yes,015 633 2600,015 633 7178,Nex o Mabhori Shopping Cenre Chuenespoor 0737,-24.32035; 29.47842
Wesern Cape,Periodical Cour,Leeu-Gamka,No,No,No,No,023 541 1450/ 1831,023 541 1955,n/a,E 21.9688; S -32.7661
Norh Wes,Magisrae Cour,Lehurushe,Yes,Yes,No,No,018 363 5600/1/2/3/4,018 363 3387,2520 AP Moloo Sree Lehurushe,-25.49137; 25.98336
Gaueng,Branch Cour,Lenasia,No,Yes (Sessions Only),No,No,011 854 1305,865074817,2 Saion Place (Cnr Saion & Nirvana Drive) Lenasia 1821,-26.31784; 27.82435
Limpopo,Magisrae Cour,Lenyenye,Yes,Yes,No,No,015 355 3414/5/6,015 355 3463,Cnr Magisrae & Police Sree Lenyenye 0857,-23.97211; 30.27002
Limpopo,Magisrae Cour,Lephalale,Yes,Yes,Yes,Yes,014 763 2178 / 763 1047,014 763 3840,2 Park Avenue Lephalale 0555,-23.67796; 27.73573
Mpumalanga,Periodical Cour,Leslie,No,No,No,No,017 632 2204,017 632 2835,c/o Norda & Diaz Sree SAPS Leslie,-26.36962; 28.92187
Limpopo,Periodical Cour,Lesiele,No,No,No,No,015 307 3770,015 307 4163,Jouber Sree Lesiele,-23.89401; 30.39273
Limpopo,Periodical Cour,Levubu,No,No,No,No,015 516 0181/2/3,015 516 0044,Main RoadSAPS  Levubu,-23.09212; 30.27622
Easern Cape,Magisrae Cour,Libode,Yes,Yes,No,No,047 555 0002,047 555 0101,Main Sree (R61) Libode 5160,E 29.01547; S -31.54138
Norh Wes,Magisrae Cour,Lichenburg,Yes,Yes,No,Yes,018 632 7900,018 632 3619,Landdros Maarens Avenue Lichenburg 2740,-26.15958; 26.1506
Norhern Cape,Periodical Cour,Lime Acres,No,Yes (Sessions Only),No,No,053 313 1155,053 313 2580,Senraal Weg Lime Acres,-28.35899; 23.52476
Free Sae,Magisrae Cour,Lindley,Yes,Yes,No,No,058 463 0012 / 0083,058 463 0615,20 Church Sree Lindley 9630,E 27.92125; S -27.88119
Norhern Cape,Periodical Cour,Loeriesfonein,No,Yes (Sessions Only),No,No,027 341 1017/ 2920,027 341 1483,Governmen Sree SAPS Loeriesfonein,-30.95631; 19.449
Gaueng,Branch Cour,Long Sree,No,No,No,No,011 921 2606,011 970 1437,11 Long Sree Kempon Park 1620,-26.103781; 28.229819
Mpumalanga,Periodical Cour,Lohair,No,No,No,No,017 819 3462/ 63/66,017 819 2735,No 1 Main Sree Lohair,-26.39039; 30.44042
Limpopo,Magisrae Cour,Louis Trichard,Yes,Yes,No,Yes,015 516 0181/2/3,015 516 0044,103 Munnik Sree Louis Trichard 0920,-23.03811; 29.90637
