Region	District	court_type	office_name	equality_court	small_claims_court	sexual_offense_court	telephone	fax	Address	GPS
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Dalasile</span>]"	 'No ']	 'No']		 'See Ngcobo']		 'n/a\t']	 'E 28.1932; S -31.6218\t']
 ' Northern Cape']	 'Postmasburg']	 'Periodical Court']	" <span class=""officenamecolor"">Danielskuil</span>]"	 'No ']	 'Yes (Sessions Only)']		 '053 313 1155']	 '053 313 2580']	 '4 Park Road, Danielskuil\t']	 '-28.1827; 23.54321\t']
 ' KwaZulu-Natal']	 'Dannhauser']	 'Magistrate Court']	" <span class=""officenamecolor"">Dannhauser</span>]"	 'Yes ']	 'Yes']		 '034 621 2227']	 '034 621 2986']	 '6 Church Street, Dannhauser 3080\t']	 'E 30.05774; S -28.01311\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Darling</span>]"	 'No ']	 'No']		 '022 482 1121/ 1166/ 1141']	 '022 482 4307']	 'Main Road, Darling\t']	 'E 18.38266; S -33.37655\t']
 ' Mpumalanga']		 'Periodical Court']	" <span class=""officenamecolor"">Davel</span>]"	 'No ']	 'No']		 '017 819 3462/ 63/66']	 '017 819 2735']	 'Davel SAPS Station \t']	 '-26.4479; 29.66766\t']
 ' Gauteng']	 'Daveyton']	 'Detached Court']	" <span class=""officenamecolor"">Daveyton</span>]"	 'Yes ']	 'Yes']		 '011 424 1200']	 'n/a']	 'Embusweni Road, Daveyton\t']	 '-26.15317; 28.41495\t']
 ' Northern Cape']	 'De Aar']	 'Magistrate Court']	" <span class=""officenamecolor"">De Aar</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '053 631 2184']	 '053 631 1588']	 '43 Voortrekker Street, De Aar, 7000\t']	 '-30.65054; 24.01046\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">De Doorns</span>]"	 'No ']	 'No']		 '023 342 2325']	 '023 347 5024']	 '53 Voortrekker Weg, De Doorns\t']	 'E 19.66592; S -33.47451\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">De Wildt</span>]"	 'No ']	 'No']		 '012 252 3223']	 '012 252 3223']	 'Cnr Van Velden & Court Street, Brits 0250\t']	 '-25.634779; 27.779294\t']
 ' Free State']	 'Boshof']	 'Periodical Court']	" <span class=""officenamecolor"">Dealesville</span>]"	 'No ']	 'Yes (Sessions Only)']		 '051 811 0022']	 '051 811 0204']	 '10 School Street, Dealesville 9348\t']	 'E 25.76341; S -28.67555\t']
 ' Northern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Deben</span>]"	 'No ']	 'No']		 '053 313 1155']	 '053 313 2580']	 '1 Hoof Street, Dibeng\t']	 '-27.59847; 22.88326\t']
 ' North West']	 'Delareyville']	 'Magistrate Court']	" <span class=""officenamecolor"">Delareyville</span>]"	 'Yes ']	 'Yes']		 '053 948 9300']	 '053 948 0904']	 '23 General Delarey Street, Delareyville 2770\t']	 '-26.68668; 25.4575\t']
 ' Mpumalanga']	 'Delmas']	 'Magistrate Court']	" <span class=""officenamecolor"">Delmas</span>]"	 'Yes ']	 'Yes']		 '013 665 2081/ 2082/ 2042']	 '013 665 5778']	 '1 Dolomiet Street, Delmas 2210\t']	 '-26.14527; 28.68632\t']
 ' Northern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Delportshoop</span>]"	 'No ']	 'No']		 '053 531 0621/23']	 '053 531 0812']	 '4 Scholts Street, Delportshoop\t']	 '-28.41655; 24.30995\t']
 ' Gauteng']		 'Periodical Court']	" <span class=""officenamecolor"">Devon</span>]"	 'No ']	 'No']		 '011 814 8261-3']	 '011 814 5488']	 'c/o Tria & Selbourne Streets, Devon\t']	 '-26.3565; 28.78579\t']
 ' Free State']	 'Dewetsdorp']	 'Magistrate Court']	" <span class=""officenamecolor"">Dewetsdorp</span>]"	 'Yes ']	 'Yes']		 '051 541 0021']	 '051 541 0754']	 '16 Church street, Dewetsdorp 9940\t']	 'E 26.66253; S -29.58432\t']
 ' Mpumalanga']		 'Branch Court']	" <span class=""officenamecolor"">Dientjie</span>]"	 'No ']	 'No']		 '013 799 0211/0212']	 '013 799 0211/0212']	 'Next to Police Station\t']	 '-24.61497; 30.80556\t']
 ' Eastern Cape']		 'Branch Court']	" <span class=""officenamecolor"">Dimbaza</span>]"	 'No ']	 'No']		 'See Zwelitsha']		 'Next to SAPS\t']	 'E 27.20609; S -32.83299\t']
 ' Mpumalanga']		 'Periodical Court']	" <span class=""officenamecolor"">Dirkiesdorp</span>]"	 'No ']	 'No']		 '017 730 0156']	 '017 730 0147']	 'Main Road (R543), SAPS Dirkiesdorp\t']	 '-27.173453; 30.402433\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Donnybrook</span>]"	 'No ']	 'No']		 '039 832 0016/0047']	 '039 832 9461']	 'Old Main Road, Donnybrook\t']	 'E 29.87935; S -29.92981\t']
 ' Eastern Cape']	 'Wodehouse']	 'Magistrate Court']	" <span class=""officenamecolor"">Dordrecht</span>]"	 'Yes ']	 'Yes']		 '045 943 1008']	 '045 943 1661/5']	 'Mark Plein Nr 2, Dordrecht 5435\t']	 'E 27.04856; S -31.3747\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">Dorset</span>]"	 'No ']	 'No']		 '014 717 5316']	 '014 717 5369']	 'Off the R33\t']	 '-24.06071; 28.16088\t']
 ' Northern Cape']	 'Herbert']	 'Magistrate Court']	" <span class=""officenamecolor"">Douglas</span>]"	 'Yes ']	 'Yes']		 '053 298 1011']	 '053 298 2809']	 '14 Rhodes Street, Douglas, 8730\t']	 '-29.05633; 23.77443\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Drakenstein Prison</span>]"	 'No ']	 'No']		 '021 872 3127']	 '021 872 9116']	 'Cnr Market Street & Berg Rivier Boulevard, Paarl 7622\t']	 ' ']
 ' KwaZulu-Natal']	 'Umzinto']	 'Branch Court']	" <span class=""officenamecolor"">Dududu</span>]"	 'No ']	 'Yes (Sessions Only)']		 '039 974 0142']	 '039 974 0146']	 'P77 Dududu Main Road, Scottburgh, 4180\t']	 ' ']
 ' KwaZulu-Natal']		 'Branch Court']	" <span class=""officenamecolor"">Dukuza</span>]"	 'No ']	 'No']		 '036 438 6063/4']	 '036 438 6063']	 'Dukuza Township, Bergville 3350\t']	 'E 29.20827; S -28.74964\t']
 ' Mpumalanga']		 'Periodical Court']	" <span class=""officenamecolor"">Dullstroom</span>]"	 'No ']	 'No']		 '013 253 1138/ 1147']	 '013 253 0035']	 '175 Voortrekker Street, Dullstroom\t']	 '-25.4183; 30.10481\t']
 ' KwaZulu-Natal']	 'Dundee']	 'Magistrate Court']	" <span class=""officenamecolor"">Dundee</span>]"	 'Yes ']	 'Yes']		 '034 212 1179']	 '034 218 2494']	 '34 Beaconsfield Street, Dundee 3000\t']	 'E 30.23336; S -28.16163\t']
 ' Gauteng']		 'Periodical Court']	" <span class=""officenamecolor"">Dunnottar</span>]"	 'No ']	 'No']		 '011 814 8261-3']	 '011 814 5488']	 '23 Porter Road, Dunnottar\t']	 '-26.35112; 28.43841\t']
 ' KwaZulu-Natal']	 'Durban']	 'Magistrate Court']	" <span class=""officenamecolor"">Durban</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '031 302 4111']	 '031 332 5006']	 'Cnr Somtseu & Stanger Street, Durban 4001\t']	 'E 31.02868; S -29.84468\t']
 ' Eastern Cape']	 'Idutywa']	 'Magistrate Court']	" <span class=""officenamecolor"">Dutywa</span>]"	 'Yes ']	 'Yes']		 '047 489 1234']	 '047 489 1449']	 'Next to Police Station, Idutywa 5000\t']	 'E 28.30459; S -32.09893\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">Dwaalboom</span>]"	 'No ']	 'No']		 '014 777 1543']	 '014 772\xa0 2523']	 'SAPS Dwaalboom\t']	 '-24.72723; 26.80745\t']
 ' Limpopo']	 'Dzanani']	 'Magistrate Court']	" <span class=""officenamecolor"">Dzanani</span>]"	 'Yes ']	 'Yes']		 '015 970 4005']	 '015 970 4332']	 'Makadu Location, Road D3669 [Hillside Street], Louis Trichardt 0920\t']	 '-22.89556; 30.03808\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">Dzumeri</span>]"	 'No ']	 'No']		 '015 812 3275']	 '015 812 0423']	 'Dzumeri Tribal Council\t']	 '-23.30713; 30.70588\t']
 ' Eastern Cape']	 'East London']	 'Magistrate Court']	" <span class=""officenamecolor"">East London</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '043 702 8000']	 '043 743 0840']	 '4 Buffalo Street, East London 5200\t']	 'E 27.90373; S -33.02075\t']
 ' Free State']	 'Edenburg']	 'Magistrate Court']	" <span class=""officenamecolor"">Edenburg</span>]"	 'Yes ']	 'Yes']		 '051 743 1102']	 '051 743 1122']	 '21 Van Dyk Street, Edenburg 9908\t']	 'E 25.93777; S -29.73755\t']
 ' Gauteng']		 'Branch Court']	" <span class=""officenamecolor"">Edenvale</span>]"	 'No ']	 'No']		 '011 453 9996']	 '011 453 9996']	 'Cnr Linksfield & 1st Avenue, Edenvale 1609\t']	 '-26.149515; 28.150312\t']
 ' Free State']	 'Edenville']	 'Periodical Court']	" <span class=""officenamecolor"">Edenville</span>]"	 'No ']	 'Yes']		 '056 631 0014']	 '056 631 0393']	 '1 Jordan Street, Edenville 9535\t']	 'E 27.67431; S -27.55514\t']
 ' Mpumalanga']	 'Eerstehoek']	 'Magistrate Court']	" <span class=""officenamecolor"">Eerstehoek</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '017 883 0090/ 9802']	 '017 883 0091/1283']	 'Stand No. 9, Police Station Road, Elukwatini 1192\t']	 '-26.06114; 30.78769\t']
 ' Gauteng']	 'Ekangala (Sub)']	 'Detached Court']	" <span class=""officenamecolor"">Ekangala</span>]"	 'Yes ']	 'Yes']		 '013 934 4249/50']	 '013 930 0238']	 '4995 Section D, Ekangala 1021\t']	 '-25.691407; 28.742122\t']
 ' KwaZulu-Natal']		 'Branch Court']	" <span class=""officenamecolor"">Ekuvukeni</span>]"	 'No ']	 'No']		 '034 261 1039']	 '034 261 1695']	 'Next to Ekuvukeni Police Station, Wasbank, Ekuvukeni 3381\t']	 'E 30.15579; S -28.46148\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Elandslaagte</span>]"	 'No ']	 'No']		 '036 637 6771/2; 637 6763/4']	 '036 631 0498']	 'Old Main Road, Elandslaagte\t']	 'E 29.95882; S -28.4012\t']
 ' Limpopo']	 'Hlanganani']	 'Magistrate Court']	" <span class=""officenamecolor"">Elim</span>]"	 'Yes ']	 'Yes']		 '015 556 4091/4052']	 '015 556 4110']	 'Near Waterval Police Station\t']	 '-23.15916; 30.07591\t']
 ' Eastern Cape']	 'Elliot']	 'Magistrate Court']	" <span class=""officenamecolor"">Elliot</span>]"	 'Yes ']	 'Yes']		 '045 931 1013']	 '045 931 1312']	 '34 Voortrekker Street, Elliot 5460\t']	 'E 27.85056; S -31.33314\t']
 ' Eastern Cape']	 'Elliotdale']	 'Magistrate Court']	" <span class=""officenamecolor"">Elliotdale</span>]"	 'Yes ']	 'Yes']		 '047 577 0003']	 '047 577 0344']	 'Erf 91 Main Street, Elliotdale 5070\t']	 'E 28.68471; S -31.96836\t']
 ' Mpumalanga']	 'Waterval Boven']	 'Magistrate Court']	" <span class=""officenamecolor"">Emgwenya</span>]"	 'Yes ']	 'Yes']		 '013 257 0004']	 '013 257 0670']	 '1 Third Avenue, Waterval Boven 1195\t']	 '-25.64478; 30.32519\t']
 ' KwaZulu-Natal']	 'Umlazi']	 'Magistrate Court']	" <span class=""officenamecolor"">Emlazi</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '031 907 3955/ 1670']	 '031 907 1480']	 'V 1318 Mangosuthu High Way, Umlazi 4066\t']	 'E 30.92513; S -29.96176\t']
 ' KwaZulu-Natal']	 'Lower Umfolozi']	 'Magistrate Court']	" <span class=""officenamecolor"">Empangeni</span>]"	 'Yes ']	 'Yes']		 '035 772 1711/2/3']	 '035 792 2527']	 '6 Union Street, Empangeni 3880\t']	 'E 31.89248; S -28.74345\t']
 ' Mpumalanga']	 'Ermelo']	 'Magistrate Court']	" <span class=""officenamecolor"">Ermelo</span>]"	 'Yes ']	 'Yes']		 '017 819 3462/ 63/66']	 '017 819 2735']	 '17 Jan van Riebeeck Street, Ermelo 2350\t']	 '-26.52318; 29.98344\t']
 ' KwaZulu-Natal']	 'Eshowe']	 'Magistrate Court']	" <span class=""officenamecolor"">Eshowe</span>]"	 'Yes ']	 'Yes']		 '035 474 1127/8']	 '035 474 4367']	 'c/o Main & William Chadwick Streets, Eshowe 3815\t']	 'E 31.45578; S -28.90295\t']
 ' KwaZulu-Natal']		 'Branch Court']	" <span class=""officenamecolor"">Esikhawini</span>]"	 'No ']	 'No']		 '035 796 0122']	 '035 796 2074']	 'H11 Ilanda Street, Esikhawini 3887\t']	 ' ']
 ' KwaZulu-Natal']	 'Estcourt']	 'Magistrate Court']	" <span class=""officenamecolor"">Estcourt</span>]"	 'Yes ']	 'Yes']		 '036 352 3030/3032']	 '036 352 1270']	 '172 Albert Street, Estcourt 3310\t']	 'E 29.87265; S -29.00583\t']
 ' Mpumalanga']	 'Highveld Ridge']	 'Magistrate Court']	" <span class=""officenamecolor"">Evander</span>]"	 'Yes ']	 'Yes']		 '017 632 2204']	 '017 632 2835']	 'Cnr Solly Zwane St & Bologna Street, Evander 2280\t']	 '-26.46967; 29.10738\t']
 ' Free State']	 'Excelsior']	 'Magistrate Court']	" <span class=""officenamecolor"">Excelsior</span>]"	 'Yes ']	 'Yes']		 '051 973 0017']	 '051 973 0518']	 'Commission Street, Excelsior 9760\t']	 'E 27.06033; S -28.93859\t']
 ' KwaZulu-Natal']	 'Ezakheni']	 'Detached Court']	" <span class=""officenamecolor"">Ezakheni</span>]"	 'No ']	 'Yes']		 '036 636 1312/3']	 '036 636 2286']	 '797 Ingonyama Street, Opposite SAPS, Ezakheni 3381\t']	 'E 29.92848; S -28.59661\t']
 ' Eastern Cape']		 'Branch Court']	" <span class=""officenamecolor"">Ezibeleni</span>]"	 'No ']	 'No']		 '047 873 1065']	 '047 873 2239']	 'Ntlabathi Street, Ezibeleni 5326\t']	 'E 26.95343; S -31.91099\t']
 ' Mpumalanga']	 'Belfast']	 'Magistrate Court']	" <span class=""officenamecolor"">eMakhazeni</span>]"	 'Yes ']	 'Yes']		 '013 253 1138/ 1147']	 '013 253 0035']	 '100 Van Riebeeck Street, Belfast 1100\t']	 '-25.69342; 30.03615\t']
 ' Mpumalanga']	 'Witbank']	 'Magistrate Court']	" <span class=""officenamecolor"">eMalahleni</span>]"	 'Yes ']	 'Yes']		 '013 656 2221/ 2222/ 2223/ 2240/ 2249']	 '013 656 5023']	 '14 Delville Street, eMalahleni 1035\t']	 '-25.8761; 29.2126\t']
 ' Mpumalanga']		 'Periodical Court']	" <span class=""officenamecolor"">eManzana</span>]"	 'No ']	 'No']		 '017 843 1033']	 '017 843 2500']	 'SAPS, Robertson Street, Badplaas\t']	 '-25.95844; 30.56844\t']
 ' Mpumalanga']	 'Piet Retief']	 'Magistrate Court']	" <span class=""officenamecolor"">eMkhondo</span>]"	 'Yes ']	 'Yes']		 '017 826 2085']	 '017 826 2085 Tel/Fax']	 '23 Church Street, Piet Retief 2380\t']	 '-27.00406; 30.80305\t']
 ' Mpumalanga']		 'Periodical Court']	" <span class=""officenamecolor"">eNtokozweni</span>]"	 'No ']	 'No']		 '013 253 1138/ 1147']	 '013 253 0035']	 '8 Plein Street, Machadodorp\t']	 '-25.66838; 30.25337\t']
 ' Free State']	 'Fauresmith']	 'Magistrate Court']	" <span class=""officenamecolor"">Fauresmith</span>]"	 'Yes ']	 'Yes']		 '051 723 0002']	 '051 723 0103']	 '52 Voortrekker Street, Fauresmith 9978\t']	 'E 25.31177; S -29.74652\t']
 ' Free State']	 'Ficksburg']	 'Magistrate Court']	" <span class=""officenamecolor"">Ficksburg</span>]"	 'Yes ']	 'Yes']		 '051 933 2201']	 '051 933 4479']	 '16 Voortrekker Street, Ficksburg 9730\t']	 'E 27.87423; S -28.87131\t']
 ' Eastern Cape']	 'Flagstaff']	 'Magistrate Court']	" <span class=""officenamecolor"">Flagstaff</span>]"	 'Yes ']	 'Yes']		 '039 252 0127/ 0188']	 '039 252 0182']	 'Main Street (R61), Flagstaff 4810\t']	 'E 29.5007; S -31.08061\t']
 ' Gauteng']	 'Fochville']	 'Detached Court']	" <span class=""officenamecolor"">Fochville</span>]"	 'No ']	 'Yes']		 '018 771 2017']	 '018 771 4188']	 'Cnr Losberg Avenue & 9th Str, Fochville 2515\t']	 '-26.49291; 27.49447\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Formosa</span>]"	 'No ']	 'No']		 '044 382 1141/ 2/3']	 '044 382 2708']	 'c/o Jackson & Main, Plettenberg Bay \t']	 'E 23.37173; S -34.05771\t']
 ' Eastern Cape']	 'Fort Beaufort']	 'Magistrate Court']	" <span class=""officenamecolor"">Fort Beaufort</span>]"	 'Yes ']	 'Yes']		 '046 645 1104']	 '046 645 4075']	 'Market Street 4, Fort-Beaufort 5720\t']	 'E 26.63076; S -32.77756\t']
 ' Free State']	 'Fouriesburg']	 'Magistrate Court']	" <span class=""officenamecolor"">Fouriesburg</span>]"	 'Yes ']	 'Yes']		 '058 223 0203 / 303 5386']	 '058 223 0652']	 '40 Reitz Street, Fouriesburg 9725\t']	 'E 28.20728; S -28.61974\t']
 ' Free State']	 'Frankfort']	 'Magistrate Court']	" <span class=""officenamecolor"">Frankfort</span>]"	 'Yes ']	 'Yes']		 '058 813 1000']	 '058 813 1638']	 '24 Van Reenen Street, Frankfort 9830\t']	 'E 28.49206; S -27.27686\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Franschoek</span>]"	 'No ']	 'No']		 '021 872 3127']	 '021 872 9116']	 'n/a\t']	 'E 19.1491; S -33.902\t']
 ' Northern Cape']	 'Fraserburg']	 'Magistrate Court']	" <span class=""officenamecolor"">Fraserburg</span>]"	 'Yes ']	 'Yes']		 '023 741 1008']	 '023 741 1049']	 '54 Voortrekker Street, Fraserburg 6960\t']	 '-31.91361; 21.5125\t']
 ' Limpopo']	 'Bolobedu']	 'Magistrate Court']	" <span class=""officenamecolor"">Ga-Kgapane</span>]"	 'Yes ']	 'Yes']		 '015 328 3002/ 3768/ 3814']	 '015 328 3002']	 'Next to Bolobedu Police Station, Ga-Kgapane 0838\t']	 '-23.64425; 30.22234\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">Ga-Maleboho</span>]"	 'No ']	 'No']		 '015 505 3151/ 52']	 '015 505 3153']	 'SAPS Maleboho, Eldorado village, RADITSHABA, 0718\t']	 '-22.98094; 28.93737\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">Ga-Matlala</span>]"	 'No ']	 'No']		 '015 223 5112/ 6087/ 6335']	 '015 223 5101']	 'Next to Police Station\t']	 '-23.67473; 29.0319\t']
 ' Mpumalanga']	 'Kriel']	 'Magistrate Court']	" <span class=""officenamecolor"">Ga-Nala</span>]"	 'Yes ']	 'Yes']		 '017 648 2196/7']	 '017 648 3532']	 'c/o Llewellyn & Bronwyn Street, Kriel 2271\t']	 '-26.25121; 29.25995\t']
 ' North West']	 'Odi']	 'Detached Court']	" <span class=""officenamecolor"">Ga-Rankuwa</span>]"	 'Yes ']	 'Yes']		 '012 700 8200']	 '012 703 2223/3189']	 '8835 Ntlatsang Street Zone 5, Ga-Rankuwa 0208\t']	 '-26.60997; 24.17689\t']
 ' Northern Cape']	 'Galeshewe']	 'Branch Court']	" <span class=""officenamecolor"">Galeshewe Community Court</span>]"	 'No ']	 'Yes']	 'Yes']	 'See Kimberley']	 'See Kimberley']	 'See Kimberley\t']	 '-28.7155; 24.7234\t']
 ' North West']	 'Kagisano-Molopo']	 'Magistrate Court']	" <span class=""officenamecolor"">Ganyesa</span>]"	 'Yes ']	 'Yes']		 '053 998 8100']	 '053 998 3302']	 'Next to Post Office, Main Road, Ganyesa 8613\t']	 '-25.59571; 28.00104\t']
 ' Free State']	 'Philippolis']	 'Periodical Court']	" <span class=""officenamecolor"">Gariepdam</span>]"	 'No ']	 'Yes (Sessions Only)']		 '051 773 0002']	 '051 773 0028']	 'Jan Groeintjie Street\t']	 'E 25.49165; S -30.59144\t']
 ' Northern Cape']	 'Namaqualand']	 'Periodical Court']	" <span class=""officenamecolor"">Garies</span>]"	 'No ']	 'Yes (Sessions Only)']		 '027 652 1013']	 '027 652 1123']	 '20 Hoof Street, Garies\t']	 '-30.5595; 17.9898\t']
 ' Eastern Cape']		 'Branch Court']	" <span class=""officenamecolor"">Gelvandale</span>]"	 'No ']	 'No']		 'See Port Elizabeth']		 'C/O Regional Road and Voisin Street\t']	 'E 25.54973; S -33.90995\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Genadendal</span>]"	 'No ']	 'No']		 '028 212 1076']	 '028 214 1630']	 'n/a\t']	 'E 19.5394; S -34.0655\t']
 ' Western Cape']	 'George']	 'Magistrate Court']	" <span class=""officenamecolor"">George</span>]"	 'Yes ']	 'Yes']		 '044 802 5800']	 '044 802 5861']	 'c/o 130 York & Courtney Street, George 6530\t']	 'E 22.45979; S -33.95591\t']
 ' Gauteng']	 'Germiston']	 'Detached Court']	" <span class=""officenamecolor"">Germiston</span>]"	 'Yes ']	 'Yes']		 '011 873 0500']	 '011 825 4606']	 '78B President Street, Germiston 1401\t']	 '-26.214949; 28.162895\t']
 ' Gauteng']		 'Detached Court']	" <span class=""officenamecolor"">Germiston Hardach Street</span>]"	 'No ']	 'No']		 '011 873 0195/ 8685 / 8697']	 '011 873 5497']	 'Hardach  Street, Germiston 1401\t']	 '-26.205667; 28.159614\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">Gilead</span>]"	 'No ']	 'No']		 '015 483 0302/3']	 '015 483 0302 Tel/Fax']	 'Next to N11\t']	 '-23.48723; 28.65612\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Gingindlovu</span>]"	 'No ']	 'No']		 '035 340 1415']	 '035 340 1253']	 'Foxon Str, Gingindlovu\t']	 'E 31.58156; S -29.02721\t']
 ' Limpopo']	 'Giyani']	 'Magistrate Court']	" <span class=""officenamecolor"">Giyani</span>]"	 'Yes ']	 'Yes']		 '015 812 3276/ 0420/ 0421']	 '015 812 0423']	 'Stand 67 Unit BA, Main Road Next to Hospital, Giyani 0826\t']	 '-23.31234; 30.69439\t']
 ' KwaZulu-Natal']	 'Glencoe']	 'Magistrate Court']	" <span class=""officenamecolor"">Glencoe</span>]"	 'Yes ']	 'Yes']		 '034 393 1164/1190']	 '034 393 2147']	 'Justice Lane, c/o Justice & Biggar Streets, Glencoe 2930\t']	 'E 30.15094; S -28.17633\t']
 ' KwaZulu-Natal']		 'Periodical Court']	" <span class=""officenamecolor"">Gluckstadt</span>]"	 'No ']	 'No']		 '034 981 4911/4912/9809']	 '034 980 9203']	 'n/a\t']	 'E 31.03228; S -27.97621\t']
 ' Free State']		 'Periodical Court']	" <span class=""officenamecolor"">Goedemoed</span>]"	 'No ']	 'No']		 '051 663 0291']	 '051 663 0536']	 'A Avenue No 3 SAPS\t']	 'E 26.40366; S -30.55931\t']
 ' Western Cape']	 'Goodwood']	 'Magistrate Court']	" <span class=""officenamecolor"">Goodwood</span>]"	 'Yes ']	 'Yes']		 '021 591 3171/ 3172 /3174']	 '021 592 4064']	 '273 Voortrekker Street (c/o Voortrekker & Molteno), Goodwood 7460\t']	 'E 18.56515; S -33.90897\t']
 ' Eastern Cape']	 'Graaff-Reinet']	 'Magistrate Court']	" <span class=""officenamecolor"">Graaff-Reinet</span>]"	 'Yes ']	 'Yes']		 '049 892 2263']	 '049 892 2377']	 '26 Church Street, Graaff-Reinet 6280\t']	 'E 24.53531; S -32.25167\t']
 ' Western Cape']	 'Grabouw']	 'Detached Court']	" <span class=""officenamecolor"">Grabouw</span>]"	 'No ']	 'Yes']		 '021 859 3661/ 4461']	 '021 859 1675']	 '31 Main Road, Grabouw 7160\t']	 'E 19.01825; S -34.15382\t']
 ' Eastern Cape']	 'Albany']	 'Magistrate Court']	" <span class=""officenamecolor"">Grahamstown</span>]"	 'Yes ']	 'Yes']		 '046 622 7303']	 '046 622 5543']	 '119A High Street , Grahamstown 6140\t']	 'E 26.52384; S -33.31117\t']
 ' Mpumalanga']	 'Pilgrim’s Rest']	 'Branch Court']	" <span class=""officenamecolor"">Graskop</span>]"	 'No ']	 'Yes (Sessions Only)']		 '013 767 1221']	 '013 767 1221 Tel/Fax']	 '19 Monument Avenue, Graskop 1270\t']	 '-24.93434; 30.83992\t']
 ' Limpopo']	 'Phalaborwa']	 'Periodical Court']	" <span class=""officenamecolor"">Gravelotte</span>]"	 'No ']	 'Yes (Sessions Only)']		 '015 781 2731']	 '015 781 1819']	 '1 Hardekool Street, Gravelotte\t']	 '-23.95181; 30.61314\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Great Brak River</span>]"	 'No ']	 'No']		 '044 693 3113/ 3140/ 3056']	 '044 693 2891']	 '113 Lang Street, Great Brak River \t']	 'E 22.21892; S -34.05467\t']
 ' KwaZulu-Natal']	 'Umvoti']	 'Magistrate Court']	" <span class=""officenamecolor"">Greytown</span>]"	 'Yes ']	 'Yes']		 '033 413 1122/3']	 '033 413 1122']	 '55 Bell (c/o Bell & Pine) Street, Greytown 3250\t']	 'E 30.59354; S -29.05946\t']
 ' Northern Cape']	 'Hay']	 'Magistrate Court']	" <span class=""officenamecolor"">Griekwastad</span>]"	 'Yes ']	 'Yes']		 '053 343 0007']	 '053 343 0531']	 '19 Hoof Street, Griquatown, 8365\t']	 '-28.84843; 23.25136\t']
 ' Limpopo']	 'Groblersdal']	 'Magistrate Court']	" <span class=""officenamecolor"">Groblersdal</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '013 262 2033/ 34']	 '013 262 3000']	 '13 Taute Street (cnr Taute & Van Riebeeck Str), Groblersdal 0470\t']	 '-25.16838; 29.39426\t']
 ' Northern Cape']	 'Groblershoop']	 'Detached Court']	" <span class=""officenamecolor"">Groblershoop</span>]"	 'Yes ']	 'Yes']		 '054 833 0140/0430']	 '054 833 0431']	 '1 Main Road, Groblershoop, 8850\t']	 '-28.89337; 21.98279\t']
 ' North West']	 'Groot Marico']	 'Detached Court']	" <span class=""officenamecolor"">Groot Marico </span>]"	 'No ']	 'Yes']		 '014 503 0016']	 '014 503 0094']	 '86 Voortrekker Street, Next to Groot Marico SAPS\t']	 '-25.59915; 26.41841\t']
 ' Western Cape']		 'Branch Court']	" <span class=""officenamecolor"">Guguletu Community Court</span>]"	 'No ']	 'No']		 '021 799 1800']	 '021 762 7842']	 'n/a\t']	 'E 18.5951; S -33.9929\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">Haenertsburg</span>]"	 'No ']	 'No']		 '015 294 6000']	 '015 294 6074']	 'Rush Street, Haenertsburg\t']	 '-23.94078; 29.94045\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">HaMakuya</span>]"	 'No ']	 'No']		 '015 962 5550']	 '015 962 5566']	 'SAPS Makuya, Mthiphu Street, on the R523, HaMakuya\t']	 '-22.65219; 30.8274\t']
